,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance,ubigeo
0,00000099,PIURA RENACE,,100.000,"1,887","1,887","15,324",00000099.jpg,4.173,3.444,19,07/10/2022,08:55 h,  94.7289,190100
1,00000098,ORGANIZACION POLITICA UNIDAD REGIONAL,,100.000,"1,887","1,887","87,607",00000098.jpg,23.855,19.687,19,07/10/2022,08:55 h,  94.7289,190100
2,00000095,MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL,,100.000,"1,887","1,887","32,397",00000095.jpg,8.822,7.280,19,07/10/2022,08:55 h,  94.7289,190100
3,00000097,REGION PARA TODOS,,100.000,"1,887","1,887","49,844",00000097.jpg,13.572,11.201,19,07/10/2022,08:55 h,  94.7289,190100
4,00000096,CONTIGO REGION,,100.000,"1,887","1,887","59,575",00000096.jpg,16.222,13.387,19,07/10/2022,08:55 h,  94.7289,190100
5,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"1,887","1,887","8,339",00000011.jpg,2.271,1.874,19,07/10/2022,08:55 h,  94.7289,190100
6,00000006,FUERZA POPULAR,,100.000,"1,887","1,887","11,292",00000006.jpg,3.075,2.537,19,07/10/2022,08:55 h,  94.7289,190100
7,00000009,PODEMOS PERU,,100.000,"1,887","1,887","9,104",00000009.jpg,2.479,2.046,19,07/10/2022,08:55 h,  94.7289,190100
8,00000003,RENOVACION POPULAR,,100.000,"1,887","1,887","6,267",00000003.jpg,1.706,1.408,19,07/10/2022,08:55 h,  94.7289,190100
9,00000004,ALIANZA PARA EL PROGRESO,,100.000,"1,887","1,887","35,622",00000004.jpg,9.700,8.005,19,07/10/2022,08:55 h,  94.7289,190100
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"1,887","1,887","51,879",00000002.jpg,14.126,11.658,19,07/10/2022,08:55 h,  94.7289,190100
