,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance,ubigeo
0,00000068,MOVIMIENTO REGIONAL FORTALEZA PERU,,100.000,"2,662","2,662","28,498",00000068.jpg,5.352,4.693,12,12/10/2022,10:30 h,  99.3284,120100
1,00000069,MOVIMIENTO REGIONAL TRABAJO MAS TRABAJO,,100.000,"2,662","2,662","82,965",00000069.jpg,15.580,13.663,12,12/10/2022,10:30 h,  99.3284,120100
2,00000067,SUMATE,,100.000,"2,662","2,662","21,811",00000067.jpg,4.096,3.592,12,12/10/2022,10:30 h,  99.3284,120100
3,00000066,NUEVA LIBERTAD,,100.000,"2,662","2,662","26,515",00000066.jpg,4.979,4.366,12,12/10/2022,10:30 h,  99.3284,120100
4,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"2,662","2,662","5,254",00000011.jpg,0.987,0.865,12,12/10/2022,10:30 h,  99.3284,120100
5,00000006,FUERZA POPULAR,,100.000,"2,662","2,662","10,901",00000006.jpg,2.047,1.795,12,12/10/2022,10:30 h,  99.3284,120100
6,00000003,RENOVACION POPULAR,,100.000,"2,662","2,662","32,028",00000003.jpg,6.014,5.274,12,12/10/2022,10:30 h,  99.3284,120100
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,"2,662","2,662","114,311",00000004.jpg,21.466,18.825,12,12/10/2022,10:30 h,  99.3284,120100
8,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,"2,662","2,662","18,488",00000007.jpg,3.472,3.045,12,12/10/2022,10:30 h,  99.3284,120100
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"2,662","2,662","5,058",00000008.jpg,0.950,0.833,12,12/10/2022,10:30 h,  99.3284,120100
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"2,662","2,662","186,687",00000002.jpg,35.058,30.743,12,12/10/2022,10:30 h,  99.3284,120100
