,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance,ubigeo
0,00000064,CORAZON PATRIOTA,,100.000,"1,502","1,502","8,158",00000064.jpg,2.775,2.387,11,10/10/2022,10:52 h, 100.0000,110100
1,00000063,JUNIN SOSTENIBLE CON SU GENTE,,100.000,"1,502","1,502","14,359",00000063.jpg,4.884,4.201,11,10/10/2022,10:52 h, 100.0000,110100
2,00000061,MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN,,100.000,"1,502","1,502","80,571",00000061.jpg,27.405,23.574,11,10/10/2022,10:52 h, 100.0000,110100
3,00000062,JUNIN RENACE,,100.000,"1,502","1,502","43,770",00000062.jpg,14.888,12.807,11,10/10/2022,10:52 h, 100.0000,110100
4,00000065,MOVIMIENTO REGIONAL BLOQUE POPULAR JUNIN,,100.000,"1,502","1,502","5,422",00000065.jpg,1.844,1.586,11,10/10/2022,10:52 h, 100.0000,110100
5,00000060,CAMINEMOS JUNTOS POR JUNIN,,100.000,"1,502","1,502","59,738",00000060.jpg,20.319,17.479,11,10/10/2022,10:52 h, 100.0000,110100
6,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"1,502","1,502","4,647",00000011.jpg,1.581,1.360,11,10/10/2022,10:52 h, 100.0000,110100
7,00000005,JUNTOS POR EL PERU,,100.000,"1,502","1,502","4,680",00000005.jpg,1.592,1.369,11,10/10/2022,10:52 h, 100.0000,110100
8,00000001,ACCION POPULAR,,100.000,"1,502","1,502","21,608",00000001.jpg,7.350,6.322,11,10/10/2022,10:52 h, 100.0000,110100
9,00000003,RENOVACION POPULAR,,100.000,"1,502","1,502","8,167",00000003.jpg,2.778,2.390,11,10/10/2022,10:52 h, 100.0000,110100
10,00000004,ALIANZA PARA EL PROGRESO,,100.000,"1,502","1,502","23,978",00000004.jpg,8.156,7.016,11,10/10/2022,10:52 h, 100.0000,110100
11,00000010,PARTIDO MORADO,,100.000,"1,502","1,502","4,763",00000010.jpg,1.620,1.394,11,10/10/2022,10:52 h, 100.0000,110100
12,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"1,502","1,502","14,141",00000008.jpg,4.810,4.138,11,10/10/2022,10:52 h, 100.0000,110100
