,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance,ubigeo
0,00000101,PODER ANDINO,,100.000,614,614,"21,417",00000101.jpg,17.090,14.421,20,05/10/2022,08:00 h,  98.2400,200100
1,00000100,FRENTE AMPLIO PARA EL DESARROLLO DEL PUEBLO,,100.000,614,614,"6,911",00000100.jpg,5.515,4.653,20,05/10/2022,08:00 h,  98.2400,200100
2,00000105,REFORMA Y HONRADEZ POR MAS OBRAS,,100.000,614,614,"42,555",00000105.jpg,33.957,28.653,20,05/10/2022,08:00 h,  98.2400,200100
3,00000102,MOVIMIENTO DE INTEGRACION Y REVOLUCION ANDINA,,100.000,614,614,"10,998",00000102.jpg,8.776,7.405,20,05/10/2022,08:00 h,  98.2400,200100
4,00000103,MORAL Y DESARROLLO,,100.000,614,614,"11,866",00000103.jpg,9.469,7.990,20,05/10/2022,08:00 h,  98.2400,200100
5,00000109,POR LAS COMUNIDADES FUENTE DE INTEGRACION ANDINA DE PUNO - CONFIA - PUNO,,100.000,614,614,"20,297",00000109.jpg,16.196,13.667,20,05/10/2022,08:00 h,  98.2400,200100
6,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,614,614,"1,983",00000011.jpg,1.582,1.335,20,05/10/2022,08:00 h,  98.2400,200100
7,00000001,ACCION POPULAR,,100.000,614,614,"2,274",00000001.jpg,1.815,1.531,20,05/10/2022,08:00 h,  98.2400,200100
8,00000009,PODEMOS PERU,,100.000,614,614,"1,263",00000009.jpg,1.008,0.850,20,05/10/2022,08:00 h,  98.2400,200100
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,614,614,"5,756",00000008.jpg,4.593,3.876,20,05/10/2022,08:00 h,  98.2400,200100
