,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance,ubigeo
0,00000071,MOVIMIENTO VERDE UNIDO,,100.000,"2,233","2,233","6,290",00000071.jpg,1.447,1.229,13,12/10/2022,10:30 h,  98.3700,130100
1,00000070,MOVIMIENTO REGIONAL CONSTRUYENDO,,100.000,"2,233","2,233","45,009",00000070.jpg,10.356,8.793,13,12/10/2022,10:30 h,  98.3700,130100
2,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"2,233","2,233","20,639",00000011.jpg,4.749,4.032,13,12/10/2022,10:30 h,  98.3700,130100
3,00000141,PARTIDO PATRIOTICO DEL PERU,,100.000,"2,233","2,233","1,493",00000141.jpg,0.344,0.292,13,12/10/2022,10:30 h,  98.3700,130100
4,00000005,JUNTOS POR EL PERU,,100.000,"2,233","2,233","88,859",00000005.jpg,20.446,17.361,13,12/10/2022,10:30 h,  98.3700,130100
5,00000006,FUERZA POPULAR,,100.000,"2,233","2,233","48,955",00000006.jpg,11.264,9.564,13,12/10/2022,10:30 h,  98.3700,130100
6,00000001,ACCION POPULAR,,100.000,"2,233","2,233","26,671",00000001.jpg,6.137,5.211,13,12/10/2022,10:30 h,  98.3700,130100
7,00000003,RENOVACION POPULAR,,100.000,"2,233","2,233","14,491",00000003.jpg,3.334,2.831,13,12/10/2022,10:30 h,  98.3700,130100
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,"2,233","2,233","61,244",00000004.jpg,14.092,11.965,13,12/10/2022,10:30 h,  98.3700,130100
9,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,"2,233","2,233","46,524",00000007.jpg,10.705,9.089,13,12/10/2022,10:30 h,  98.3700,130100
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"2,233","2,233","17,651",00000008.jpg,4.061,3.449,13,12/10/2022,10:30 h,  98.3700,130100
11,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"2,233","2,233","56,772",00000002.jpg,13.063,11.092,13,12/10/2022,10:30 h,  98.3700,130100
