,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance,ubigeo
0,00000020,MOVIMIENTO REGIONAL EL MAICITO,,100.000,443,443,"5,058",00000020.jpg,6.227,5.017,02,10/10/2022,10:52 h, 100.0000,020100
1,00000019,SOCIOS POR ANCASH,,100.000,443,443,"11,600",00000019.jpg,14.282,11.507,02,10/10/2022,10:52 h, 100.0000,020100
2,00000018,MOVIMIENTO ACCION NACIONALISTA PERUANO,,100.000,443,443,"3,355",00000018.jpg,4.131,3.328,02,10/10/2022,10:52 h, 100.0000,020100
3,00000021,ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,,100.000,443,443,"29,374",00000021.jpg,36.165,29.138,02,10/10/2022,10:52 h, 100.0000,020100
4,00000005,JUNTOS POR EL PERU,,100.000,443,443,"9,898",00000005.jpg,12.186,9.818,02,10/10/2022,10:52 h, 100.0000,020100
5,00000001,ACCION POPULAR,,100.000,443,443,"1,797",00000001.jpg,2.212,1.783,02,10/10/2022,10:52 h, 100.0000,020100
6,00000009,PODEMOS PERU,,100.000,443,443,"1,385",00000009.jpg,1.705,1.374,02,10/10/2022,10:52 h, 100.0000,020100
7,00000003,RENOVACION POPULAR,,100.000,443,443,"2,892",00000003.jpg,3.561,2.869,02,10/10/2022,10:52 h, 100.0000,020100
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,443,443,"8,006",00000004.jpg,9.857,7.942,02,10/10/2022,10:52 h, 100.0000,020100
9,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,443,443,"6,480",00000007.jpg,7.978,6.428,02,10/10/2022,10:52 h, 100.0000,020100
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,443,443,"1,378",00000008.jpg,1.697,1.367,02,10/10/2022,10:52 h, 100.0000,020100
