,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance,ubigeo
0,00000028,YO AREQUIPA,,100.000,"3,014","3,014","95,221",00000028.jpg,15.386,12.990,04,12/10/2022,10:30 h,  98.7226,040100
1,00000026,MOVIMIENTO REGIONAL REVALORA,,100.000,"3,014","3,014","15,459",00000026.jpg,2.498,2.109,04,12/10/2022,10:30 h,  98.7226,040100
2,00000030,AREQUIPA - UNIDOS POR EL GRAN CAMBIO,,100.000,"3,014","3,014","20,642",00000030.jpg,3.335,2.816,04,12/10/2022,10:30 h,  98.7226,040100
3,00000029,FUERZA AREQUIPEÑA,,100.000,"3,014","3,014","50,954",00000029.jpg,8.233,6.951,04,12/10/2022,10:30 h,  98.7226,040100
4,00000032,JUNTOS POR EL DESARROLLO DE AREQUIPA,,100.000,"3,014","3,014","97,980",00000032.jpg,15.832,13.367,04,12/10/2022,10:30 h,  98.7226,040100
5,00000027,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,,100.000,"3,014","3,014","94,489",00000027.jpg,15.268,12.890,04,12/10/2022,10:30 h,  98.7226,040100
6,00000031,"AREQUIPA, TRADICION Y FUTURO",,100.000,"3,014","3,014","81,250",00000031.jpg,13.129,11.084,04,12/10/2022,10:30 h,  98.7226,040100
7,00000033,AREQUIPA TRANSFORMACION,,100.000,"3,014","3,014","74,432",00000033.jpg,12.027,10.154,04,12/10/2022,10:30 h,  98.7226,040100
8,00000005,JUNTOS POR EL PERU,,100.000,"3,014","3,014","8,776",00000005.jpg,1.418,1.197,04,12/10/2022,10:30 h,  98.7226,040100
9,00000006,FUERZA POPULAR,,100.000,"3,014","3,014","8,350",00000006.jpg,1.349,1.139,04,12/10/2022,10:30 h,  98.7226,040100
10,00000001,ACCION POPULAR,,100.000,"3,014","3,014","6,782",00000001.jpg,1.096,0.925,04,12/10/2022,10:30 h,  98.7226,040100
11,00000009,PODEMOS PERU,,100.000,"3,014","3,014","2,460",00000009.jpg,0.397,0.336,04,12/10/2022,10:30 h,  98.7226,040100
12,00000004,ALIANZA PARA EL PROGRESO,,100.000,"3,014","3,014","19,662",00000004.jpg,3.177,2.682,04,12/10/2022,10:30 h,  98.7226,040100
13,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,"3,014","3,014","11,708",00000007.jpg,1.892,1.597,04,12/10/2022,10:30 h,  98.7226,040100
14,00000010,PARTIDO MORADO,,100.000,"3,014","3,014","4,019",00000010.jpg,0.649,0.548,04,12/10/2022,10:30 h,  98.7226,040100
15,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"3,014","3,014","19,459",00000008.jpg,3.144,2.655,04,12/10/2022,10:30 h,  98.7226,040100
16,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"3,014","3,014","7,232",00000002.jpg,1.169,0.987,04,12/10/2022,10:30 h,  98.7226,040100
