,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance,ubigeo
0,00000075,MOVIMIENTO INDEPENDIENTE LORETO - MI LORETO,,100.000,"1,196","1,196","22,129",00000075.jpg,10.747,9.310,15,05/10/2022,20:00 h,  93.6570,150100
1,10000080,MISION ORGANIZADA VIA INTEGRIDAD Y LIBERTAD,,100.000,"1,196","1,196","6,179",10000080.jpg,3.001,2.600,15,05/10/2022,20:00 h,  93.6570,150100
2,00000079,MOVIMIENTO INDEPENDIENTE REIVINDIQUEMOS LORETO,,100.000,"1,196","1,196","27,943",00000079.jpg,13.571,11.756,15,05/10/2022,20:00 h,  93.6570,150100
3,00000078,MOVIMIENTO ESPERANZA REGION AMAZONICA,,100.000,"1,196","1,196","49,457",00000078.jpg,24.019,20.808,15,05/10/2022,20:00 h,  93.6570,150100
4,00000076,JUNTOS POR LORETO,,100.000,"1,196","1,196","4,188",00000076.jpg,2.034,1.762,15,05/10/2022,20:00 h,  93.6570,150100
5,00000161,LORETO PARA TODOS,,100.000,"1,196","1,196","10,429",00000161.jpg,5.065,4.388,15,05/10/2022,20:00 h,  93.6570,150100
6,00000006,FUERZA POPULAR,,100.000,"1,196","1,196","2,290",00000006.jpg,1.112,0.963,15,05/10/2022,20:00 h,  93.6570,150100
7,00000001,ACCION POPULAR,,100.000,"1,196","1,196","1,374",00000001.jpg,0.667,0.578,15,05/10/2022,20:00 h,  93.6570,150100
8,00000009,PODEMOS PERU,,100.000,"1,196","1,196",729,00000009.jpg,0.354,0.307,15,05/10/2022,20:00 h,  93.6570,150100
9,00000004,ALIANZA PARA EL PROGRESO,,100.000,"1,196","1,196","14,779",00000004.jpg,7.178,6.218,15,05/10/2022,20:00 h,  93.6570,150100
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"1,196","1,196","1,484",00000008.jpg,0.721,0.624,15,05/10/2022,20:00 h,  93.6570,150100
11,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"1,196","1,196","64,924",00000002.jpg,31.531,27.315,15,05/10/2022,20:00 h,  93.6570,150100
