,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
8,00000005,JUNTOS POR EL PERU,,100.000,3,3,0,00000005.jpg,0.000,0.000,12/10/2022,12:30 h, 100.0000,040117,81
14,00000010,PARTIDO MORADO,,100.000,3,3,0,00000010.jpg,0.000,0.000,12/10/2022,12:30 h, 100.0000,040117,81
11,00000009,PODEMOS PERU,,100.000,3,3,0,00000009.jpg,0.000,0.000,12/10/2022,12:30 h, 100.0000,040117,81
16,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,3,3,0,00000002.jpg,0.000,0.000,12/10/2022,12:30 h, 100.0000,040117,81
9,00000006,FUERZA POPULAR,,100.000,3,3,1,00000006.jpg,0.152,0.136,12/10/2022,12:30 h, 100.0000,040117,81
10,00000001,ACCION POPULAR,,100.000,3,3,1,00000001.jpg,0.152,0.136,12/10/2022,12:30 h, 100.0000,040117,81
2,00000030,AREQUIPA - UNIDOS POR EL GRAN CAMBIO,,100.000,3,3,2,00000030.jpg,0.304,0.271,12/10/2022,12:30 h, 100.0000,040117,81
13,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,3,3,2,00000007.jpg,0.304,0.271,12/10/2022,12:30 h, 100.0000,040117,81
15,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,3,3,5,00000008.jpg,0.761,0.678,12/10/2022,12:30 h, 100.0000,040117,81
12,00000004,ALIANZA PARA EL PROGRESO,,100.000,3,3,5,00000004.jpg,0.761,0.678,12/10/2022,12:30 h, 100.0000,040117,81
7,00000033,AREQUIPA TRANSFORMACION,,100.000,3,3,7,00000033.jpg,1.065,0.949,12/10/2022,12:30 h, 100.0000,040117,81
1,00000026,MOVIMIENTO REGIONAL REVALORA,,100.000,3,3,7,00000026.jpg,1.065,0.949,12/10/2022,12:30 h, 100.0000,040117,81
4,00000032,JUNTOS POR EL DESARROLLO DE AREQUIPA,,100.000,3,3,16,00000032.jpg,2.435,2.168,12/10/2022,12:30 h, 100.0000,040117,81
3,00000029,FUERZA AREQUIPEÑA,,100.000,3,3,22,00000029.jpg,3.349,2.981,12/10/2022,12:30 h, 100.0000,040117,81
5,00000027,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,,100.000,3,3,25,00000027.jpg,3.805,3.388,12/10/2022,12:30 h, 100.0000,040117,81
6,00000031,"AREQUIPA, TRADICION Y FUTURO",,100.000,3,3,225,00000031.jpg,34.247,30.488,12/10/2022,12:30 h, 100.0000,040117,81
0,00000028,YO AREQUIPA,,100.000,3,3,339,00000028.jpg,51.598,45.935,12/10/2022,12:30 h, 100.0000,040117,81
