,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000020,MOVIMIENTO REGIONAL EL MAICITO,,100.000,4,4,142,00000020.jpg,21.162,17.907,10/10/2022,10:52 h, 100.0000,021904
1,00000019,SOCIOS POR ANCASH,,100.000,4,4,90,00000019.jpg,13.413,11.349,10/10/2022,10:52 h, 100.0000,021904
2,00000018,MOVIMIENTO ACCION NACIONALISTA PERUANO,,100.000,4,4,25,00000018.jpg,3.726,3.153,10/10/2022,10:52 h, 100.0000,021904
3,00000021,ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,,100.000,4,4,98,00000021.jpg,14.605,12.358,10/10/2022,10:52 h, 100.0000,021904
4,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,4,4,14,00000011.jpg,2.086,1.765,10/10/2022,10:52 h, 100.0000,021904
5,00000006,FUERZA POPULAR,,100.000,4,4,9,00000006.jpg,1.341,1.135,10/10/2022,10:52 h, 100.0000,021904
6,00000001,ACCION POPULAR,,100.000,4,4,13,00000001.jpg,1.937,1.639,10/10/2022,10:52 h, 100.0000,021904
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,4,4,180,00000004.jpg,26.826,22.699,10/10/2022,10:52 h, 100.0000,021904
8,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,4,4,91,00000007.jpg,13.562,11.475,10/10/2022,10:52 h, 100.0000,021904
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,4,4,9,00000008.jpg,1.341,1.135,10/10/2022,10:52 h, 100.0000,021904
