,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000071,MOVIMIENTO VERDE UNIDO,,100.000,183,183,922,00000071.jpg,2.443,2.137,06/10/2022,17:50 h,  96.8254,130301
1,00000070,MOVIMIENTO REGIONAL CONSTRUYENDO,,100.000,183,183,"2,271",00000070.jpg,6.018,5.263,06/10/2022,17:50 h,  96.8254,130301
2,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,183,183,"2,160",00000011.jpg,5.724,5.005,06/10/2022,17:50 h,  96.8254,130301
3,00000005,JUNTOS POR EL PERU,,100.000,183,183,"2,609",00000005.jpg,6.914,6.046,06/10/2022,17:50 h,  96.8254,130301
4,00000006,FUERZA POPULAR,,100.000,183,183,"1,572",00000006.jpg,4.166,3.643,06/10/2022,17:50 h,  96.8254,130301
5,00000003,RENOVACION POPULAR,,100.000,183,183,"1,009",00000003.jpg,2.674,2.338,06/10/2022,17:50 h,  96.8254,130301
6,00000004,ALIANZA PARA EL PROGRESO,,100.000,183,183,"8,798",00000004.jpg,23.316,20.388,06/10/2022,17:50 h,  96.8254,130301
7,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,183,183,"10,711",00000007.jpg,28.386,24.821,06/10/2022,17:50 h,  96.8254,130301
8,00000010,PARTIDO MORADO,,100.000,183,183,604,00000010.jpg,1.601,1.400,06/10/2022,17:50 h,  96.8254,130301
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,183,183,760,00000008.jpg,2.014,1.761,06/10/2022,17:50 h,  96.8254,130301
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,183,183,"6,318",00000002.jpg,16.744,14.641,06/10/2022,17:50 h,  96.8254,130301
