,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
8,00000003,RENOVACION POPULAR,,100.000,117,117,84,00000003.jpg,0.399,0.337,12/10/2022,16:00 h,  95.9016,110805,3864
5,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,117,117,198,00000011.jpg,0.940,0.794,12/10/2022,16:00 h,  95.9016,110805,3864
11,00000010,PARTIDO MORADO,,100.000,117,117,268,00000010.jpg,1.273,1.075,12/10/2022,16:00 h,  95.9016,110805,3864
10,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,117,117,388,00000007.jpg,1.843,1.557,12/10/2022,16:00 h,  95.9016,110805,3864
4,00000060,CAMINEMOS JUNTOS POR JUNIN,,100.000,117,117,411,00000060.jpg,1.952,1.649,12/10/2022,16:00 h,  95.9016,110805,3864
7,00000009,PODEMOS PERU,,100.000,117,117,679,00000009.jpg,3.224,2.725,12/10/2022,16:00 h,  95.9016,110805,3864
1,00000063,JUNIN SOSTENIBLE CON SU GENTE,,100.000,117,117,714,00000063.jpg,3.391,2.865,12/10/2022,16:00 h,  95.9016,110805,3864
6,00000001,ACCION POPULAR,,100.000,117,117,728,00000001.jpg,3.457,2.921,12/10/2022,16:00 h,  95.9016,110805,3864
3,00000062,JUNIN RENACE,,100.000,117,117,1416,00000062.jpg,6.724,5.682,12/10/2022,16:00 h,  95.9016,110805,3864
12,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,117,117,1758,00000008.jpg,8.348,7.054,12/10/2022,16:00 h,  95.9016,110805,3864
0,00000064,CORAZON PATRIOTA,,100.000,117,117,3599,00000064.jpg,17.091,14.441,12/10/2022,16:00 h,  95.9016,110805,3864
9,00000004,ALIANZA PARA EL PROGRESO,,100.000,117,117,5261,00000004.jpg,24.983,21.110,12/10/2022,16:00 h,  95.9016,110805,3864
2,00000061,MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN,,100.000,117,117,5554,00000061.jpg,26.375,22.286,12/10/2022,16:00 h,  95.9016,110805,3864
