,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000072,PATRIA JOVEN,,100.000,5,5,251,00000072.jpg,22.715,19.733,10/10/2022,17:31 h, 100.0000,140410
1,00000074,MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA,,100.000,5,5,489,00000074.jpg,44.253,38.443,10/10/2022,17:31 h, 100.0000,140410
2,00000073,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,,100.000,5,5,21,00000073.jpg,1.900,1.651,10/10/2022,17:31 h, 100.0000,140410
3,00000141,PARTIDO PATRIOTICO DEL PERU,,100.000,5,5,2,00000141.jpg,0.181,0.157,10/10/2022,17:31 h, 100.0000,140410
4,00000001,ACCION POPULAR,,100.000,5,5,7,00000001.jpg,0.633,0.550,10/10/2022,17:31 h, 100.0000,140410
5,00000009,PODEMOS PERU,,100.000,5,5,20,00000009.jpg,1.810,1.572,10/10/2022,17:31 h, 100.0000,140410
6,00000003,RENOVACION POPULAR,,100.000,5,5,41,00000003.jpg,3.710,3.223,10/10/2022,17:31 h, 100.0000,140410
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,5,5,36,00000004.jpg,3.258,2.830,10/10/2022,17:31 h, 100.0000,140410
8,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,5,5,202,00000007.jpg,18.281,15.881,10/10/2022,17:31 h, 100.0000,140410
9,00000010,PARTIDO MORADO,,100.000,5,5,12,00000010.jpg,1.086,0.943,10/10/2022,17:31 h, 100.0000,140410
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,5,5,24,00000002.jpg,2.172,1.887,10/10/2022,17:31 h, 100.0000,140410
