,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000064,CORAZON PATRIOTA,,100.000,8,8,32,00000064.jpg,2.218,1.913,10/10/2022,10:52 h, 100.0000,110112
1,00000063,JUNIN SOSTENIBLE CON SU GENTE,,100.000,8,8,8,00000063.jpg,0.554,0.478,10/10/2022,10:52 h, 100.0000,110112
2,00000061,MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN,,100.000,8,8,570,00000061.jpg,39.501,34.071,10/10/2022,10:52 h, 100.0000,110112
3,00000062,JUNIN RENACE,,100.000,8,8,130,00000062.jpg,9.009,7.770,10/10/2022,10:52 h, 100.0000,110112
4,00000065,MOVIMIENTO REGIONAL BLOQUE POPULAR JUNIN,,100.000,8,8,5,00000065.jpg,0.347,0.299,10/10/2022,10:52 h, 100.0000,110112
5,00000060,CAMINEMOS JUNTOS POR JUNIN,,100.000,8,8,383,00000060.jpg,26.542,22.893,10/10/2022,10:52 h, 100.0000,110112
6,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,8,8,5,00000011.jpg,0.347,0.299,10/10/2022,10:52 h, 100.0000,110112
7,00000005,JUNTOS POR EL PERU,,100.000,8,8,3,00000005.jpg,0.208,0.179,10/10/2022,10:52 h, 100.0000,110112
8,00000001,ACCION POPULAR,,100.000,8,8,4,00000001.jpg,0.277,0.239,10/10/2022,10:52 h, 100.0000,110112
9,00000003,RENOVACION POPULAR,,100.000,8,8,7,00000003.jpg,0.485,0.418,10/10/2022,10:52 h, 100.0000,110112
10,00000004,ALIANZA PARA EL PROGRESO,,100.000,8,8,30,00000004.jpg,2.079,1.793,10/10/2022,10:52 h, 100.0000,110112
11,00000010,PARTIDO MORADO,,100.000,8,8,3,00000010.jpg,0.208,0.179,10/10/2022,10:52 h, 100.0000,110112
12,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,8,8,263,00000008.jpg,18.226,15.720,10/10/2022,10:52 h, 100.0000,110112
