,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
3,00000005,JUNTOS POR EL PERU,,100.000,58,58,72,00000005.jpg,0.521,0.475,12/10/2022,13:00 h, 100.0000,100205,1331
4,00000006,FUERZA POPULAR,,100.000,58,58,111,00000006.jpg,0.803,0.732,12/10/2022,13:00 h, 100.0000,100205,1331
5,00000001,ACCION POPULAR,,100.000,58,58,128,00000001.jpg,0.926,0.845,12/10/2022,13:00 h, 100.0000,100205,1331
6,00000009,PODEMOS PERU,,100.000,58,58,136,00000009.jpg,0.984,0.897,12/10/2022,13:00 h, 100.0000,100205,1331
7,00000003,RENOVACION POPULAR,,100.000,58,58,786,00000003.jpg,5.686,5.187,12/10/2022,13:00 h, 100.0000,100205,1331
1,00000058,MOVIMIENTO REGIONAL OBRAS POR LA MODERNIDAD,,100.000,58,58,1037,00000058.jpg,7.502,6.843,12/10/2022,13:00 h, 100.0000,100205,1331
2,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,58,58,1728,00000011.jpg,12.501,11.403,12/10/2022,13:00 h, 100.0000,100205,1331
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,58,58,2277,00000002.jpg,16.473,15.026,12/10/2022,13:00 h, 100.0000,100205,1331
0,00000059,UNO POR ICA,,100.000,58,58,3171,00000059.jpg,22.940,20.925,12/10/2022,13:00 h, 100.0000,100205,1331
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,58,58,4377,00000004.jpg,31.665,28.883,12/10/2022,13:00 h, 100.0000,100205,1331
