,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
7,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,48,48,15,00000007.jpg,0.160,0.133,12/10/2022,13:00 h, 100.0000,120902,1957
2,00000066,NUEVA LIBERTAD,,100.000,48,48,50,00000066.jpg,0.535,0.442,12/10/2022,13:00 h, 100.0000,120902,1957
3,00000005,JUNTOS POR EL PERU,,100.000,48,48,71,00000005.jpg,0.760,0.628,12/10/2022,13:00 h, 100.0000,120902,1957
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,48,48,137,00000008.jpg,1.466,1.212,12/10/2022,13:00 h, 100.0000,120902,1957
4,00000006,FUERZA POPULAR,,100.000,48,48,188,00000006.jpg,2.011,1.663,12/10/2022,13:00 h, 100.0000,120902,1957
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,48,48,325,00000002.jpg,3.477,2.875,12/10/2022,13:00 h, 100.0000,120902,1957
6,00000004,ALIANZA PARA EL PROGRESO,,100.000,48,48,571,00000004.jpg,6.108,5.051,12/10/2022,13:00 h, 100.0000,120902,1957
1,00000067,SUMATE,,100.000,48,48,782,00000067.jpg,8.365,6.917,12/10/2022,13:00 h, 100.0000,120902,1957
5,00000001,ACCION POPULAR,,100.000,48,48,1459,00000001.jpg,15.608,12.906,12/10/2022,13:00 h, 100.0000,120902,1957
8,00000010,PARTIDO MORADO,,100.000,48,48,2508,00000010.jpg,26.829,22.185,12/10/2022,13:00 h, 100.0000,120902,1957
0,00000069,MOVIMIENTO REGIONAL TRABAJO MAS TRABAJO,,100.000,48,48,3242,00000069.jpg,34.681,28.678,12/10/2022,13:00 h, 100.0000,120902,1957
