,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000072,PATRIA JOVEN,,100.000,9,9,543,00000072.jpg,31.699,28.715,10/10/2022,17:31 h, 100.0000,140806
1,00000074,MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA,,100.000,9,9,796,00000074.jpg,46.468,42.094,10/10/2022,17:31 h, 100.0000,140806
2,00000073,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,,100.000,9,9,17,00000073.jpg,0.992,0.899,10/10/2022,17:31 h, 100.0000,140806
3,00000005,JUNTOS POR EL PERU,,100.000,9,9,4,00000005.jpg,0.234,0.212,10/10/2022,17:31 h, 100.0000,140806
4,00000006,FUERZA POPULAR,,100.000,9,9,3,00000006.jpg,0.175,0.159,10/10/2022,17:31 h, 100.0000,140806
5,00000001,ACCION POPULAR,,100.000,9,9,42,00000001.jpg,2.452,2.221,10/10/2022,17:31 h, 100.0000,140806
6,00000009,PODEMOS PERU,,100.000,9,9,234,00000009.jpg,13.660,12.374,10/10/2022,17:31 h, 100.0000,140806
7,00000003,RENOVACION POPULAR,,100.000,9,9,4,00000003.jpg,0.234,0.212,10/10/2022,17:31 h, 100.0000,140806
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,9,9,20,00000004.jpg,1.168,1.058,10/10/2022,17:31 h, 100.0000,140806
9,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,9,9,5,00000007.jpg,0.292,0.264,10/10/2022,17:31 h, 100.0000,140806
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,9,9,20,00000008.jpg,1.168,1.058,10/10/2022,17:31 h, 100.0000,140806
11,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,9,9,25,00000002.jpg,1.459,1.322,10/10/2022,17:31 h, 100.0000,140806
