,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000028,YO AREQUIPA,,100.000,18,18,216,00000028.jpg,5.616,4.771,10/10/2022,16:51 h, 100.0000,040118
1,00000026,MOVIMIENTO REGIONAL REVALORA,,100.000,18,18,51,00000026.jpg,1.326,1.127,10/10/2022,16:51 h, 100.0000,040118
2,00000030,AREQUIPA - UNIDOS POR EL GRAN CAMBIO,,100.000,18,18,39,00000030.jpg,1.014,0.861,10/10/2022,16:51 h, 100.0000,040118
3,00000029,FUERZA AREQUIPEÑA,,100.000,18,18,163,00000029.jpg,4.238,3.601,10/10/2022,16:51 h, 100.0000,040118
4,00000032,JUNTOS POR EL DESARROLLO DE AREQUIPA,,100.000,18,18,182,00000032.jpg,4.732,4.020,10/10/2022,16:51 h, 100.0000,040118
5,00000027,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,,100.000,18,18,"1,580",00000027.jpg,41.082,34.902,10/10/2022,16:51 h, 100.0000,040118
6,00000031,"AREQUIPA, TRADICION Y FUTURO",,100.000,18,18,935,00000031.jpg,24.311,20.654,10/10/2022,16:51 h, 100.0000,040118
7,00000033,AREQUIPA TRANSFORMACION,,100.000,18,18,493,00000033.jpg,12.819,10.890,10/10/2022,16:51 h, 100.0000,040118
8,00000005,JUNTOS POR EL PERU,,100.000,18,18,22,00000005.jpg,0.572,0.486,10/10/2022,16:51 h, 100.0000,040118
9,00000006,FUERZA POPULAR,,100.000,18,18,10,00000006.jpg,0.260,0.221,10/10/2022,16:51 h, 100.0000,040118
10,00000001,ACCION POPULAR,,100.000,18,18,10,00000001.jpg,0.260,0.221,10/10/2022,16:51 h, 100.0000,040118
11,00000009,PODEMOS PERU,,100.000,18,18,7,00000009.jpg,0.182,0.155,10/10/2022,16:51 h, 100.0000,040118
12,00000004,ALIANZA PARA EL PROGRESO,,100.000,18,18,32,00000004.jpg,0.832,0.707,10/10/2022,16:51 h, 100.0000,040118
13,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,18,18,25,00000007.jpg,0.650,0.552,10/10/2022,16:51 h, 100.0000,040118
14,00000010,PARTIDO MORADO,,100.000,18,18,10,00000010.jpg,0.260,0.221,10/10/2022,16:51 h, 100.0000,040118
15,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,18,18,57,00000008.jpg,1.482,1.259,10/10/2022,16:51 h, 100.0000,040118
16,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,18,18,14,00000002.jpg,0.364,0.309,10/10/2022,16:51 h, 100.0000,040118
