,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
6,00000001,ACCION POPULAR,,100.000,226,226,242,00000001.jpg,0.529,0.462,12/10/2022,13:00 h,  97.4138,190401,6572
8,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,226,226,431,00000008.jpg,0.942,0.823,12/10/2022,13:00 h,  97.4138,190401,6572
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,226,226,991,00000004.jpg,2.165,1.893,12/10/2022,13:00 h,  97.4138,190401,6572
5,00000006,FUERZA POPULAR,,100.000,226,226,1283,00000006.jpg,2.803,2.451,12/10/2022,13:00 h,  97.4138,190401,6572
4,00000096,CONTIGO REGION,,100.000,226,226,2769,00000096.jpg,6.049,5.289,12/10/2022,13:00 h,  97.4138,190401,6572
2,00000095,MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL,,100.000,226,226,3383,00000095.jpg,7.390,6.462,12/10/2022,13:00 h,  97.4138,190401,6572
3,00000097,REGION PARA TODOS,,100.000,226,226,4170,00000097.jpg,9.109,7.966,12/10/2022,13:00 h,  97.4138,190401,6572
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,226,226,5317,00000002.jpg,11.615,10.157,12/10/2022,13:00 h,  97.4138,190401,6572
0,00000099,PIURA RENACE,,100.000,226,226,8328,00000099.jpg,18.192,15.908,12/10/2022,13:00 h,  97.4138,190401,6572
1,00000098,ORGANIZACION POLITICA UNIDAD REGIONAL,,100.000,226,226,18864,00000098.jpg,41.208,36.034,12/10/2022,13:00 h,  97.4138,190401,6572
