,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
6,00000001,ACCION POPULAR,,100.000,21,21,0,00000001.jpg,0.000,0.000,12/10/2022,13:00 h, 100.0000,190410,320
5,00000006,FUERZA POPULAR,,100.000,21,21,3,00000006.jpg,0.064,0.060,12/10/2022,13:00 h, 100.0000,190410,320
8,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,21,21,18,00000008.jpg,0.383,0.359,12/10/2022,13:00 h, 100.0000,190410,320
4,00000096,CONTIGO REGION,,100.000,21,21,21,00000096.jpg,0.447,0.419,12/10/2022,13:00 h, 100.0000,190410,320
0,00000099,PIURA RENACE,,100.000,21,21,25,00000099.jpg,0.533,0.499,12/10/2022,13:00 h, 100.0000,190410,320
1,00000098,ORGANIZACION POLITICA UNIDAD REGIONAL,,100.000,21,21,62,00000098.jpg,1.321,1.237,12/10/2022,13:00 h, 100.0000,190410,320
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,21,21,324,00000004.jpg,6.902,6.462,12/10/2022,13:00 h, 100.0000,190410,320
2,00000095,MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL,,100.000,21,21,753,00000095.jpg,16.042,15.018,12/10/2022,13:00 h, 100.0000,190410,320
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,21,21,1254,00000002.jpg,26.715,25.010,12/10/2022,13:00 h, 100.0000,190410,320
3,00000097,REGION PARA TODOS,,100.000,21,21,2234,00000097.jpg,47.593,44.555,12/10/2022,13:00 h, 100.0000,190410,320
