,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000072,PATRIA JOVEN,,100.000,3,3,11,00000072.jpg,2.594,2.153,06/10/2022,17:50 h, 100.0000,140810
1,00000074,MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA,,100.000,3,3,117,00000074.jpg,27.594,22.896,06/10/2022,17:50 h, 100.0000,140810
2,00000073,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,,100.000,3,3,152,00000073.jpg,35.849,29.746,06/10/2022,17:50 h, 100.0000,140810
3,00000005,JUNTOS POR EL PERU,,100.000,3,3,0,00000005.jpg,0.000,0.000,06/10/2022,17:50 h, 100.0000,140810
4,00000006,FUERZA POPULAR,,100.000,3,3,2,00000006.jpg,0.472,0.391,06/10/2022,17:50 h, 100.0000,140810
5,00000001,ACCION POPULAR,,100.000,3,3,24,00000001.jpg,5.660,4.697,06/10/2022,17:50 h, 100.0000,140810
6,00000009,PODEMOS PERU,,100.000,3,3,14,00000009.jpg,3.302,2.740,06/10/2022,17:50 h, 100.0000,140810
7,00000003,RENOVACION POPULAR,,100.000,3,3,84,00000003.jpg,19.811,16.438,06/10/2022,17:50 h, 100.0000,140810
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,3,3,19,00000004.jpg,4.481,3.718,06/10/2022,17:50 h, 100.0000,140810
9,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,3,3,0,00000007.jpg,0.000,0.000,06/10/2022,17:50 h, 100.0000,140810
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,3,3,0,00000008.jpg,0.000,0.000,06/10/2022,17:50 h, 100.0000,140810
11,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,3,3,1,00000002.jpg,0.236,0.196,06/10/2022,17:50 h, 100.0000,140810
