,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
8,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,9,9,3,00000008.jpg,0.177,0.156,12/10/2022,13:00 h, 100.0000,091103,223
0,00000053,MOVIMIENTO POLITICO CAMBIEMOS X HCO,,100.000,9,9,12,00000053.jpg,0.708,0.625,12/10/2022,13:00 h, 100.0000,091103,223
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,9,9,15,00000002.jpg,0.884,0.782,12/10/2022,13:00 h, 100.0000,091103,223
4,00000005,JUNTOS POR EL PERU,,100.000,9,9,18,00000005.jpg,1.061,0.938,12/10/2022,13:00 h, 100.0000,091103,223
3,00000056,AVANZADA REGIONAL INDEPENDIENTE UNIDOS POR HUANUCO,,100.000,9,9,30,00000056.jpg,1.769,1.563,12/10/2022,13:00 h, 100.0000,091103,223
7,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,9,9,39,00000007.jpg,2.300,2.032,12/10/2022,13:00 h, 100.0000,091103,223
5,00000001,ACCION POPULAR,,100.000,9,9,206,00000001.jpg,12.146,10.735,12/10/2022,13:00 h, 100.0000,091103,223
2,00000057,MOVIMIENTO INDEPENDIENTE REGIONAL HUANUCO PRIMERO,,100.000,9,9,316,00000057.jpg,18.632,16.467,12/10/2022,13:00 h, 100.0000,091103,223
1,00000054,MOVIMIENTO INDEPENDIENTE REGIONAL MI BUEN VECINO,,100.000,9,9,422,00000054.jpg,24.882,21.991,12/10/2022,13:00 h, 100.0000,091103,223
6,00000004,ALIANZA PARA EL PROGRESO,,100.000,9,9,635,00000004.jpg,37.441,33.090,12/10/2022,13:00 h, 100.0000,091103,223
