,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
3,00000001,ACCION POPULAR,,100.000,92,92,198,00000001.jpg,1.114,0.881,12/10/2022,13:00 h, 100.0000,140507,4715
7,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,92,92,236,00000007.jpg,1.328,1.050,12/10/2022,13:00 h, 100.0000,140507,4715
2,00000073,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,,100.000,92,92,557,00000073.jpg,3.134,2.477,12/10/2022,13:00 h, 100.0000,140507,4715
5,00000003,RENOVACION POPULAR,,100.000,92,92,617,00000003.jpg,3.472,2.744,12/10/2022,13:00 h, 100.0000,140507,4715
6,00000004,ALIANZA PARA EL PROGRESO,,100.000,92,92,669,00000004.jpg,3.765,2.975,12/10/2022,13:00 h, 100.0000,140507,4715
8,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,92,92,737,00000008.jpg,4.147,3.278,12/10/2022,13:00 h, 100.0000,140507,4715
4,00000009,PODEMOS PERU,,100.000,92,92,1624,00000009.jpg,9.139,7.223,12/10/2022,13:00 h, 100.0000,140507,4715
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,92,92,3965,00000002.jpg,22.313,17.634,12/10/2022,13:00 h, 100.0000,140507,4715
1,00000074,MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA,,100.000,92,92,4016,00000074.jpg,22.600,17.861,12/10/2022,13:00 h, 100.0000,140507,4715
0,00000072,PATRIA JOVEN,,100.000,92,92,5151,00000072.jpg,28.987,22.909,12/10/2022,13:00 h, 100.0000,140507,4715
