,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000068,MOVIMIENTO REGIONAL FORTALEZA PERU,,100.000,14,14,460,00000068.jpg,15.303,13.690,10/10/2022,10:52 h, 100.0000,120106
1,00000069,MOVIMIENTO REGIONAL TRABAJO MAS TRABAJO,,100.000,14,14,"1,458",00000069.jpg,48.503,43.393,10/10/2022,10:52 h, 100.0000,120106
2,00000067,SUMATE,,100.000,14,14,25,00000067.jpg,0.832,0.744,10/10/2022,10:52 h, 100.0000,120106
3,00000066,NUEVA LIBERTAD,,100.000,14,14,20,00000066.jpg,0.665,0.595,10/10/2022,10:52 h, 100.0000,120106
4,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,14,14,3,00000011.jpg,0.100,0.089,10/10/2022,10:52 h, 100.0000,120106
5,00000006,FUERZA POPULAR,,100.000,14,14,203,00000006.jpg,6.753,6.042,10/10/2022,10:52 h, 100.0000,120106
6,00000003,RENOVACION POPULAR,,100.000,14,14,19,00000003.jpg,0.632,0.565,10/10/2022,10:52 h, 100.0000,120106
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,14,14,259,00000004.jpg,8.616,7.708,10/10/2022,10:52 h, 100.0000,120106
8,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,14,14,14,00000007.jpg,0.466,0.417,10/10/2022,10:52 h, 100.0000,120106
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,14,14,134,00000008.jpg,4.458,3.988,10/10/2022,10:52 h, 100.0000,120106
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,14,14,411,00000002.jpg,13.673,12.232,10/10/2022,10:52 h, 100.0000,120106
