,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000071,MOVIMIENTO VERDE UNIDO,,100.000,23,23,14,00000071.jpg,0.313,0.272,06/10/2022,17:50 h, 100.0000,130119
1,00000070,MOVIMIENTO REGIONAL CONSTRUYENDO,,100.000,23,23,56,00000070.jpg,1.252,1.087,06/10/2022,17:50 h, 100.0000,130119
2,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,23,23,179,00000011.jpg,4.003,3.473,06/10/2022,17:50 h, 100.0000,130119
3,00000141,PARTIDO PATRIOTICO DEL PERU,,100.000,23,23,4,00000141.jpg,0.089,0.078,06/10/2022,17:50 h, 100.0000,130119
4,00000005,JUNTOS POR EL PERU,,100.000,23,23,758,00000005.jpg,16.950,14.707,06/10/2022,17:50 h, 100.0000,130119
5,00000006,FUERZA POPULAR,,100.000,23,23,247,00000006.jpg,5.523,4.792,06/10/2022,17:50 h, 100.0000,130119
6,00000001,ACCION POPULAR,,100.000,23,23,47,00000001.jpg,1.051,0.912,06/10/2022,17:50 h, 100.0000,130119
7,00000003,RENOVACION POPULAR,,100.000,23,23,267,00000003.jpg,5.970,5.180,06/10/2022,17:50 h, 100.0000,130119
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,23,23,"1,293",00000004.jpg,28.913,25.087,06/10/2022,17:50 h, 100.0000,130119
9,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,23,23,"1,262",00000007.jpg,28.220,24.486,06/10/2022,17:50 h, 100.0000,130119
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,23,23,39,00000008.jpg,0.872,0.757,06/10/2022,17:50 h, 100.0000,130119
11,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,23,23,306,00000002.jpg,6.843,5.937,06/10/2022,17:50 h, 100.0000,130119
