,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000020,MOVIMIENTO REGIONAL EL MAICITO,,100.000,606,606,"7,287",00000020.jpg,6.695,5.380,10/10/2022,10:52 h, 100.0000,021301
1,00000019,SOCIOS POR ANCASH,,100.000,606,606,"16,039",00000019.jpg,14.737,11.843,10/10/2022,10:52 h, 100.0000,021301
2,00000182,MOVIMIENTO INDEPENDIENTE REGIONAL ANCASH A LA OBRA,,100.000,606,606,"8,070",00000182.jpg,7.415,5.959,10/10/2022,10:52 h, 100.0000,021301
3,00000018,MOVIMIENTO ACCION NACIONALISTA PERUANO,,100.000,606,606,"10,858",00000018.jpg,9.976,8.017,10/10/2022,10:52 h, 100.0000,021301
4,00000021,ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,,100.000,606,606,"13,174",00000021.jpg,12.104,9.727,10/10/2022,10:52 h, 100.0000,021301
5,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,606,606,"8,939",00000011.jpg,8.213,6.600,10/10/2022,10:52 h, 100.0000,021301
6,00000005,JUNTOS POR EL PERU,,100.000,606,606,"19,004",00000005.jpg,17.461,14.032,10/10/2022,10:52 h, 100.0000,021301
7,00000006,FUERZA POPULAR,,100.000,606,606,"4,038",00000006.jpg,3.710,2.982,10/10/2022,10:52 h, 100.0000,021301
8,00000001,ACCION POPULAR,,100.000,606,606,"1,424",00000001.jpg,1.308,1.051,10/10/2022,10:52 h, 100.0000,021301
9,00000009,PODEMOS PERU,,100.000,606,606,"2,813",00000009.jpg,2.585,2.077,10/10/2022,10:52 h, 100.0000,021301
10,00000003,RENOVACION POPULAR,,100.000,606,606,"3,703",00000003.jpg,3.402,2.734,10/10/2022,10:52 h, 100.0000,021301
11,00000004,ALIANZA PARA EL PROGRESO,,100.000,606,606,"6,845",00000004.jpg,6.289,5.054,10/10/2022,10:52 h, 100.0000,021301
12,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,606,606,"1,738",00000007.jpg,1.597,1.283,10/10/2022,10:52 h, 100.0000,021301
13,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,606,606,"2,941",00000008.jpg,2.702,2.172,10/10/2022,10:52 h, 100.0000,021301
14,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,606,606,"1,963",00000002.jpg,1.804,1.449,10/10/2022,10:52 h, 100.0000,021301
