,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000028,YO AREQUIPA,,100.000,3,3,122,00000028.jpg,27.854,19.741,10/10/2022,16:51 h, 100.0000,040216
1,00000026,MOVIMIENTO REGIONAL REVALORA,,100.000,3,3,4,00000026.jpg,0.913,0.647,10/10/2022,16:51 h, 100.0000,040216
2,00000029,FUERZA AREQUIPEÑA,,100.000,3,3,64,00000029.jpg,14.612,10.356,10/10/2022,16:51 h, 100.0000,040216
3,00000032,JUNTOS POR EL DESARROLLO DE AREQUIPA,,100.000,3,3,51,00000032.jpg,11.644,8.252,10/10/2022,16:51 h, 100.0000,040216
4,00000027,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,,100.000,3,3,80,00000027.jpg,18.265,12.945,10/10/2022,16:51 h, 100.0000,040216
5,00000031,"AREQUIPA, TRADICION Y FUTURO",,100.000,3,3,13,00000031.jpg,2.968,2.104,10/10/2022,16:51 h, 100.0000,040216
6,00000005,JUNTOS POR EL PERU,,100.000,3,3,12,00000005.jpg,2.740,1.942,10/10/2022,16:51 h, 100.0000,040216
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,3,3,83,00000004.jpg,18.950,13.430,10/10/2022,16:51 h, 100.0000,040216
8,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,3,3,3,00000007.jpg,0.685,0.485,10/10/2022,16:51 h, 100.0000,040216
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,3,3,5,00000008.jpg,1.142,0.809,10/10/2022,16:51 h, 100.0000,040216
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,3,3,1,00000002.jpg,0.228,0.162,10/10/2022,16:51 h, 100.0000,040216
