,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000059,UNO POR ICA,,100.000,4,4,98,00000059.jpg,13.406,11.653,10/10/2022,16:51 h,  80.0000,100206
1,00000058,MOVIMIENTO REGIONAL OBRAS POR LA MODERNIDAD,,100.000,4,4,10,00000058.jpg,1.368,1.189,10/10/2022,16:51 h,  80.0000,100206
2,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,4,4,22,00000011.jpg,3.010,2.616,10/10/2022,16:51 h,  80.0000,100206
3,00000005,JUNTOS POR EL PERU,,100.000,4,4,10,00000005.jpg,1.368,1.189,10/10/2022,16:51 h,  80.0000,100206
4,00000006,FUERZA POPULAR,,100.000,4,4,4,00000006.jpg,0.547,0.476,10/10/2022,16:51 h,  80.0000,100206
5,00000001,ACCION POPULAR,,100.000,4,4,3,00000001.jpg,0.410,0.357,10/10/2022,16:51 h,  80.0000,100206
6,00000009,PODEMOS PERU,,100.000,4,4,5,00000009.jpg,0.684,0.595,10/10/2022,16:51 h,  80.0000,100206
7,00000003,RENOVACION POPULAR,,100.000,4,4,7,00000003.jpg,0.958,0.832,10/10/2022,16:51 h,  80.0000,100206
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,4,4,297,00000004.jpg,40.629,35.315,10/10/2022,16:51 h,  80.0000,100206
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,4,4,275,00000002.jpg,37.620,32.699,10/10/2022,16:51 h,  80.0000,100206
