,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
9,00000010,PARTIDO MORADO,,100.000,103,103,218,00000010.jpg,1.007,0.858,12/10/2022,13:00 h, 100.0000,140406,3763
3,00000141,PARTIDO PATRIOTICO DEL PERU,,100.000,103,103,222,00000141.jpg,1.026,0.874,12/10/2022,13:00 h, 100.0000,140406,3763
4,00000001,ACCION POPULAR,,100.000,103,103,439,00000001.jpg,2.029,1.728,12/10/2022,13:00 h, 100.0000,140406,3763
8,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,103,103,622,00000007.jpg,2.875,2.449,12/10/2022,13:00 h, 100.0000,140406,3763
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,103,103,886,00000004.jpg,4.095,3.488,12/10/2022,13:00 h, 100.0000,140406,3763
6,00000003,RENOVACION POPULAR,,100.000,103,103,1969,00000003.jpg,9.100,7.752,12/10/2022,13:00 h, 100.0000,140406,3763
2,00000073,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,,100.000,103,103,2274,00000073.jpg,10.509,8.952,12/10/2022,13:00 h, 100.0000,140406,3763
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,103,103,2932,00000002.jpg,13.550,11.543,12/10/2022,13:00 h, 100.0000,140406,3763
0,00000072,PATRIA JOVEN,,100.000,103,103,3763,00000072.jpg,17.391,14.814,12/10/2022,13:00 h, 100.0000,140406,3763
1,00000074,MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA,,100.000,103,103,4123,00000074.jpg,19.054,16.232,12/10/2022,13:00 h, 100.0000,140406,3763
5,00000009,PODEMOS PERU,,100.000,103,103,4190,00000009.jpg,19.364,16.495,12/10/2022,13:00 h, 100.0000,140406,3763
