,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
8,00000010,PARTIDO MORADO,,100.000,53,53,12,00000010.jpg,0.115,0.095,12/10/2022,13:00 h,  98.1481,130305,2157
0,00000071,MOVIMIENTO VERDE UNIDO,,100.000,53,53,122,00000071.jpg,1.169,0.969,12/10/2022,13:00 h,  98.1481,130305,2157
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,53,53,161,00000008.jpg,1.543,1.279,12/10/2022,13:00 h,  98.1481,130305,2157
7,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,53,53,342,00000007.jpg,3.278,2.716,12/10/2022,13:00 h,  98.1481,130305,2157
1,00000070,MOVIMIENTO REGIONAL CONSTRUYENDO,,100.000,53,53,496,00000070.jpg,4.754,3.940,12/10/2022,13:00 h,  98.1481,130305,2157
5,00000003,RENOVACION POPULAR,,100.000,53,53,570,00000003.jpg,5.463,4.527,12/10/2022,13:00 h,  98.1481,130305,2157
3,00000005,JUNTOS POR EL PERU,,100.000,53,53,967,00000005.jpg,9.269,7.681,12/10/2022,13:00 h,  98.1481,130305,2157
4,00000006,FUERZA POPULAR,,100.000,53,53,1600,00000006.jpg,15.336,12.708,12/10/2022,13:00 h,  98.1481,130305,2157
2,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,53,53,1811,00000011.jpg,17.358,14.384,12/10/2022,13:00 h,  98.1481,130305,2157
6,00000004,ALIANZA PARA EL PROGRESO,,100.000,53,53,2006,00000004.jpg,19.227,15.933,12/10/2022,13:00 h,  98.1481,130305,2157
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,53,53,2346,00000002.jpg,22.486,18.634,12/10/2022,13:00 h,  98.1481,130305,2157
