,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000028,YO AREQUIPA,,100.000,12,12,58,00000028.jpg,2.695,2.367,10/10/2022,16:51 h, 100.0000,040303
1,00000026,MOVIMIENTO REGIONAL REVALORA,,100.000,12,12,446,00000026.jpg,20.725,18.204,10/10/2022,16:51 h, 100.0000,040303
2,00000181,AREQUIPA RENACE,,100.000,12,12,370,00000181.jpg,17.193,15.102,10/10/2022,16:51 h, 100.0000,040303
3,00000029,FUERZA AREQUIPEÑA,,100.000,12,12,470,00000029.jpg,21.840,19.184,10/10/2022,16:51 h, 100.0000,040303
4,00000032,JUNTOS POR EL DESARROLLO DE AREQUIPA,,100.000,12,12,10,00000032.jpg,0.465,0.408,10/10/2022,16:51 h, 100.0000,040303
5,00000031,"AREQUIPA, TRADICION Y FUTURO",,100.000,12,12,122,00000031.jpg,5.669,4.980,10/10/2022,16:51 h, 100.0000,040303
6,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,12,12,13,00000011.jpg,0.604,0.531,10/10/2022,16:51 h, 100.0000,040303
7,00000005,JUNTOS POR EL PERU,,100.000,12,12,23,00000005.jpg,1.069,0.939,10/10/2022,16:51 h, 100.0000,040303
8,00000001,ACCION POPULAR,,100.000,12,12,42,00000001.jpg,1.952,1.714,10/10/2022,16:51 h, 100.0000,040303
9,00000009,PODEMOS PERU,,100.000,12,12,12,00000009.jpg,0.558,0.490,10/10/2022,16:51 h, 100.0000,040303
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,12,12,495,00000008.jpg,23.002,20.204,10/10/2022,16:51 h, 100.0000,040303
11,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,12,12,91,00000002.jpg,4.229,3.714,10/10/2022,16:51 h, 100.0000,040303
