,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000064,CORAZON PATRIOTA,,100.000,22,22,22,00000064.jpg,0.657,0.578,06/10/2022,17:50 h, 100.0000,110122
1,00000063,JUNIN SOSTENIBLE CON SU GENTE,,100.000,22,22,19,00000063.jpg,0.568,0.499,06/10/2022,17:50 h, 100.0000,110122
2,00000061,MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN,,100.000,22,22,893,00000061.jpg,26.681,23.463,06/10/2022,17:50 h, 100.0000,110122
3,00000062,JUNIN RENACE,,100.000,22,22,102,00000062.jpg,3.048,2.680,06/10/2022,17:50 h, 100.0000,110122
4,00000065,MOVIMIENTO REGIONAL BLOQUE POPULAR JUNIN,,100.000,22,22,500,00000065.jpg,14.939,13.137,06/10/2022,17:50 h, 100.0000,110122
5,00000060,CAMINEMOS JUNTOS POR JUNIN,,100.000,22,22,864,00000060.jpg,25.814,22.701,06/10/2022,17:50 h, 100.0000,110122
6,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,22,22,0,00000011.jpg,0.000,0.000,06/10/2022,17:50 h, 100.0000,110122
7,00000005,JUNTOS POR EL PERU,,100.000,22,22,5,00000005.jpg,0.149,0.131,06/10/2022,17:50 h, 100.0000,110122
8,00000001,ACCION POPULAR,,100.000,22,22,903,00000001.jpg,26.979,23.726,06/10/2022,17:50 h, 100.0000,110122
9,00000003,RENOVACION POPULAR,,100.000,22,22,6,00000003.jpg,0.179,0.158,06/10/2022,17:50 h, 100.0000,110122
10,00000004,ALIANZA PARA EL PROGRESO,,100.000,22,22,5,00000004.jpg,0.149,0.131,06/10/2022,17:50 h, 100.0000,110122
11,00000010,PARTIDO MORADO,,100.000,22,22,2,00000010.jpg,0.060,0.053,06/10/2022,17:50 h, 100.0000,110122
12,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,22,22,26,00000008.jpg,0.777,0.683,06/10/2022,17:50 h, 100.0000,110122
