,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
6,00000001,ACCION POPULAR,,100.000,34,34,8,00000001.jpg,0.121,0.103,12/10/2022,13:00 h,  94.4444,190404,1102
8,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,34,34,24,00000008.jpg,0.362,0.310,12/10/2022,13:00 h,  94.4444,190404,1102
5,00000006,FUERZA POPULAR,,100.000,34,34,25,00000006.jpg,0.377,0.323,12/10/2022,13:00 h,  94.4444,190404,1102
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,34,34,28,00000004.jpg,0.422,0.362,12/10/2022,13:00 h,  94.4444,190404,1102
4,00000096,CONTIGO REGION,,100.000,34,34,226,00000096.jpg,3.408,2.923,12/10/2022,13:00 h,  94.4444,190404,1102
2,00000095,MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL,,100.000,34,34,501,00000095.jpg,7.555,6.479,12/10/2022,13:00 h,  94.4444,190404,1102
0,00000099,PIURA RENACE,,100.000,34,34,729,00000099.jpg,10.994,9.427,12/10/2022,13:00 h,  94.4444,190404,1102
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,34,34,898,00000002.jpg,13.542,11.613,12/10/2022,13:00 h,  94.4444,190404,1102
1,00000098,ORGANIZACION POLITICA UNIDAD REGIONAL,,100.000,34,34,1852,00000098.jpg,27.929,23.949,12/10/2022,13:00 h,  94.4444,190404,1102
3,00000097,REGION PARA TODOS,,100.000,34,34,2340,00000097.jpg,35.289,30.260,12/10/2022,13:00 h,  94.4444,190404,1102
