,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000064,CORAZON PATRIOTA,,100.000,9,9,5,00000064.jpg,0.363,0.329,10/10/2022,16:51 h,  90.0000,110709
1,00000063,JUNIN SOSTENIBLE CON SU GENTE,,100.000,9,9,328,00000063.jpg,23.803,21.579,10/10/2022,16:51 h,  90.0000,110709
2,00000061,MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN,,100.000,9,9,29,00000061.jpg,2.104,1.908,10/10/2022,16:51 h,  90.0000,110709
3,00000062,JUNIN RENACE,,100.000,9,9,3,00000062.jpg,0.218,0.197,10/10/2022,16:51 h,  90.0000,110709
4,00000060,CAMINEMOS JUNTOS POR JUNIN,,100.000,9,9,295,00000060.jpg,21.408,19.408,10/10/2022,16:51 h,  90.0000,110709
5,00000006,FUERZA POPULAR,,100.000,9,9,1,00000006.jpg,0.073,0.066,10/10/2022,16:51 h,  90.0000,110709
6,00000009,PODEMOS PERU,,100.000,9,9,2,00000009.jpg,0.145,0.132,10/10/2022,16:51 h,  90.0000,110709
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,9,9,96,00000004.jpg,6.967,6.316,10/10/2022,16:51 h,  90.0000,110709
8,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,9,9,211,00000008.jpg,15.312,13.882,10/10/2022,16:51 h,  90.0000,110709
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,9,9,408,00000002.jpg,29.608,26.842,10/10/2022,16:51 h,  90.0000,110709
