,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000064,CORAZON PATRIOTA,,100.000,13,13,32,00000064.jpg,1.270,1.098,10/10/2022,16:51 h, 100.0000,110702
1,00000063,JUNIN SOSTENIBLE CON SU GENTE,,100.000,13,13,319,00000063.jpg,12.664,10.947,10/10/2022,16:51 h, 100.0000,110702
2,00000061,MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN,,100.000,13,13,363,00000061.jpg,14.410,12.457,10/10/2022,16:51 h, 100.0000,110702
3,00000062,JUNIN RENACE,,100.000,13,13,78,00000062.jpg,3.096,2.677,10/10/2022,16:51 h, 100.0000,110702
4,00000060,CAMINEMOS JUNTOS POR JUNIN,,100.000,13,13,776,00000060.jpg,30.806,26.630,10/10/2022,16:51 h, 100.0000,110702
5,00000006,FUERZA POPULAR,,100.000,13,13,25,00000006.jpg,0.992,0.858,10/10/2022,16:51 h, 100.0000,110702
6,00000009,PODEMOS PERU,,100.000,13,13,20,00000009.jpg,0.794,0.686,10/10/2022,16:51 h, 100.0000,110702
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,13,13,434,00000004.jpg,17.229,14.894,10/10/2022,16:51 h, 100.0000,110702
8,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,13,13,450,00000008.jpg,17.864,15.443,10/10/2022,16:51 h, 100.0000,110702
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,13,13,22,00000002.jpg,0.873,0.755,10/10/2022,16:51 h, 100.0000,110702
