,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
4,00000005,JUNTOS POR EL PERU,,100.000,7,7,1,00000005.jpg,0.075,0.068,12/10/2022,13:00 h, 100.0000,091107,151
3,00000056,AVANZADA REGIONAL INDEPENDIENTE UNIDOS POR HUANUCO,,100.000,7,7,3,00000056.jpg,0.226,0.203,12/10/2022,13:00 h, 100.0000,091107,151
5,00000001,ACCION POPULAR,,100.000,7,7,4,00000001.jpg,0.301,0.271,12/10/2022,13:00 h, 100.0000,091107,151
8,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,7,7,6,00000008.jpg,0.452,0.406,12/10/2022,13:00 h, 100.0000,091107,151
0,00000053,MOVIMIENTO POLITICO CAMBIEMOS X HCO,,100.000,7,7,24,00000053.jpg,1.809,1.624,12/10/2022,13:00 h, 100.0000,091107,151
7,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,7,7,92,00000007.jpg,6.933,6.225,12/10/2022,13:00 h, 100.0000,091107,151
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,7,7,101,00000002.jpg,7.611,6.834,12/10/2022,13:00 h, 100.0000,091107,151
6,00000004,ALIANZA PARA EL PROGRESO,,100.000,7,7,306,00000004.jpg,23.060,20.704,12/10/2022,13:00 h, 100.0000,091107,151
1,00000054,MOVIMIENTO INDEPENDIENTE REGIONAL MI BUEN VECINO,,100.000,7,7,378,00000054.jpg,28.485,25.575,12/10/2022,13:00 h, 100.0000,091107,151
2,00000057,MOVIMIENTO INDEPENDIENTE REGIONAL HUANUCO PRIMERO,,100.000,7,7,412,00000057.jpg,31.047,27.876,12/10/2022,13:00 h, 100.0000,091107,151
