,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
3,00000062,JUNIN RENACE,,100.000,128,128,459,00000062.jpg,2.220,1.744,12/10/2022,13:00 h,  96.2406,110706,5641
0,00000064,CORAZON PATRIOTA,,100.000,128,128,846,00000064.jpg,4.091,3.214,12/10/2022,13:00 h,  96.2406,110706,5641
5,00000006,FUERZA POPULAR,,100.000,128,128,962,00000006.jpg,4.652,3.655,12/10/2022,13:00 h,  96.2406,110706,5641
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,128,128,1352,00000004.jpg,6.538,5.137,12/10/2022,13:00 h,  96.2406,110706,5641
8,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,128,128,1405,00000008.jpg,6.794,5.338,12/10/2022,13:00 h,  96.2406,110706,5641
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,128,128,1419,00000002.jpg,6.862,5.391,12/10/2022,13:00 h,  96.2406,110706,5641
1,00000063,JUNIN SOSTENIBLE CON SU GENTE,,100.000,128,128,1826,00000063.jpg,8.830,6.938,12/10/2022,13:00 h,  96.2406,110706,5641
6,00000009,PODEMOS PERU,,100.000,128,128,1879,00000009.jpg,9.087,7.139,12/10/2022,13:00 h,  96.2406,110706,5641
2,00000061,MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN,,100.000,128,128,2520,00000061.jpg,12.186,9.574,12/10/2022,13:00 h,  96.2406,110706,5641
4,00000060,CAMINEMOS JUNTOS POR JUNIN,,100.000,128,128,8011,00000060.jpg,38.740,30.437,12/10/2022,13:00 h,  96.2406,110706,5641
