,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
11,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,3,3,0,00000002.jpg,0.000,0.000,12/10/2022,13:00 h, 100.0000,140803,136
6,00000009,PODEMOS PERU,,100.000,3,3,1,00000009.jpg,0.272,0.199,12/10/2022,13:00 h, 100.0000,140803,136
3,00000005,JUNTOS POR EL PERU,,100.000,3,3,3,00000005.jpg,0.817,0.596,12/10/2022,13:00 h, 100.0000,140803,136
9,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,3,3,4,00000007.jpg,1.090,0.795,12/10/2022,13:00 h, 100.0000,140803,136
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,3,3,5,00000008.jpg,1.362,0.994,12/10/2022,13:00 h, 100.0000,140803,136
7,00000003,RENOVACION POPULAR,,100.000,3,3,6,00000003.jpg,1.635,1.193,12/10/2022,13:00 h, 100.0000,140803,136
5,00000001,ACCION POPULAR,,100.000,3,3,7,00000001.jpg,1.907,1.392,12/10/2022,13:00 h, 100.0000,140803,136
4,00000006,FUERZA POPULAR,,100.000,3,3,9,00000006.jpg,2.452,1.789,12/10/2022,13:00 h, 100.0000,140803,136
2,00000073,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,,100.000,3,3,10,00000073.jpg,2.725,1.988,12/10/2022,13:00 h, 100.0000,140803,136
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,3,3,11,00000004.jpg,2.997,2.187,12/10/2022,13:00 h, 100.0000,140803,136
0,00000072,PATRIA JOVEN,,100.000,3,3,29,00000072.jpg,7.902,5.765,12/10/2022,13:00 h, 100.0000,140803,136
1,00000074,MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA,,100.000,3,3,282,00000074.jpg,76.839,56.064,12/10/2022,13:00 h, 100.0000,140803,136
