,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,85,85,245,00000002.jpg,1.523,1.232,12/10/2022,16:00 h, 100.0000,021307,3798
7,00000003,RENOVACION POPULAR,,100.000,85,85,302,00000003.jpg,1.877,1.519,12/10/2022,16:00 h, 100.0000,021307,3798
6,00000009,PODEMOS PERU,,100.000,85,85,332,00000009.jpg,2.063,1.669,12/10/2022,16:00 h, 100.0000,021307,3798
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,85,85,710,00000008.jpg,4.413,3.570,12/10/2022,16:00 h, 100.0000,021307,3798
4,00000021,ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,,100.000,85,85,801,00000021.jpg,4.978,4.028,12/10/2022,16:00 h, 100.0000,021307,3798
1,00000019,SOCIOS POR ANCASH,,100.000,85,85,1267,00000019.jpg,7.874,6.371,12/10/2022,16:00 h, 100.0000,021307,3798
3,00000018,MOVIMIENTO ACCION NACIONALISTA PERUANO,,100.000,85,85,1298,00000018.jpg,8.067,6.527,12/10/2022,16:00 h, 100.0000,021307,3798
5,00000005,JUNTOS POR EL PERU,,100.000,85,85,1749,00000005.jpg,10.870,8.794,12/10/2022,16:00 h, 100.0000,021307,3798
2,00000182,MOVIMIENTO INDEPENDIENTE REGIONAL ANCASH A LA OBRA,,100.000,85,85,1925,00000182.jpg,11.964,9.679,12/10/2022,16:00 h, 100.0000,021307,3798
0,00000020,MOVIMIENTO REGIONAL EL MAICITO,,100.000,85,85,2491,00000020.jpg,15.482,12.525,12/10/2022,16:00 h, 100.0000,021307,3798
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,85,85,4970,00000004.jpg,30.889,24.990,12/10/2022,16:00 h, 100.0000,021307,3798
