,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000059,UNO POR ICA,,100.000,34,34,"1,272",00000059.jpg,16.877,14.895,10/10/2022,10:52 h,  97.1429,100204
1,00000058,MOVIMIENTO REGIONAL OBRAS POR LA MODERNIDAD,,100.000,34,34,372,00000058.jpg,4.936,4.356,10/10/2022,10:52 h,  97.1429,100204
2,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,34,34,82,00000011.jpg,1.088,0.960,10/10/2022,10:52 h,  97.1429,100204
3,00000005,JUNTOS POR EL PERU,,100.000,34,34,27,00000005.jpg,0.358,0.316,10/10/2022,10:52 h,  97.1429,100204
4,00000006,FUERZA POPULAR,,100.000,34,34,55,00000006.jpg,0.730,0.644,10/10/2022,10:52 h,  97.1429,100204
5,00000001,ACCION POPULAR,,100.000,34,34,135,00000001.jpg,1.791,1.581,10/10/2022,10:52 h,  97.1429,100204
6,00000009,PODEMOS PERU,,100.000,34,34,61,00000009.jpg,0.809,0.714,10/10/2022,10:52 h,  97.1429,100204
7,00000003,RENOVACION POPULAR,,100.000,34,34,231,00000003.jpg,3.065,2.705,10/10/2022,10:52 h,  97.1429,100204
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,34,34,"3,220",00000004.jpg,42.723,37.705,10/10/2022,10:52 h,  97.1429,100204
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,34,34,"2,082",00000002.jpg,27.624,24.379,10/10/2022,10:52 h,  97.1429,100204
