,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
1,00000026,MOVIMIENTO REGIONAL REVALORA,,100.000,4,4,1,00000026.jpg,0.154,0.123,12/10/2022,12:30 h, 100.0000,040206,163
8,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,4,4,2,00000007.jpg,0.307,0.246,12/10/2022,12:30 h, 100.0000,040206,163
6,00000005,JUNTOS POR EL PERU,,100.000,4,4,29,00000005.jpg,4.455,3.563,12/10/2022,12:30 h, 100.0000,040206,163
4,00000027,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,,100.000,4,4,30,00000027.jpg,4.608,3.686,12/10/2022,12:30 h, 100.0000,040206,163
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,4,4,30,00000004.jpg,4.608,3.686,12/10/2022,12:30 h, 100.0000,040206,163
0,00000028,YO AREQUIPA,,100.000,4,4,57,00000028.jpg,8.756,7.002,12/10/2022,12:30 h, 100.0000,040206,163
5,00000031,"AREQUIPA, TRADICION Y FUTURO",,100.000,4,4,59,00000031.jpg,9.063,7.248,12/10/2022,12:30 h, 100.0000,040206,163
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,4,4,78,00000008.jpg,11.982,9.582,12/10/2022,12:30 h, 100.0000,040206,163
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,4,4,86,00000002.jpg,13.210,10.565,12/10/2022,12:30 h, 100.0000,040206,163
2,00000029,FUERZA AREQUIPEÑA,,100.000,4,4,137,00000029.jpg,21.045,16.830,12/10/2022,12:30 h, 100.0000,040206,163
3,00000032,JUNTOS POR EL DESARROLLO DE AREQUIPA,,100.000,4,4,142,00000032.jpg,21.813,17.445,12/10/2022,12:30 h, 100.0000,040206,163
