,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
0,00000071,MOVIMIENTO VERDE UNIDO,,100.000,4,4,1,00000071.jpg,0.200,0.109,12/10/2022,13:00 h,  66.6667,130302,420
8,00000010,PARTIDO MORADO,,100.000,4,4,1,00000010.jpg,0.200,0.109,12/10/2022,13:00 h,  66.6667,130302,420
5,00000003,RENOVACION POPULAR,,100.000,4,4,2,00000003.jpg,0.401,0.218,12/10/2022,13:00 h,  66.6667,130302,420
2,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,4,4,4,00000011.jpg,0.802,0.435,12/10/2022,13:00 h,  66.6667,130302,420
4,00000006,FUERZA POPULAR,,100.000,4,4,5,00000006.jpg,1.002,0.544,12/10/2022,13:00 h,  66.6667,130302,420
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,4,4,7,00000008.jpg,1.403,0.762,12/10/2022,13:00 h,  66.6667,130302,420
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,4,4,13,00000002.jpg,2.605,1.415,12/10/2022,13:00 h,  66.6667,130302,420
7,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,4,4,23,00000007.jpg,4.609,2.503,12/10/2022,13:00 h,  66.6667,130302,420
6,00000004,ALIANZA PARA EL PROGRESO,,100.000,4,4,45,00000004.jpg,9.018,4.897,12/10/2022,13:00 h,  66.6667,130302,420
3,00000005,JUNTOS POR EL PERU,,100.000,4,4,105,00000005.jpg,21.042,11.425,12/10/2022,13:00 h,  66.6667,130302,420
1,00000070,MOVIMIENTO REGIONAL CONSTRUYENDO,,100.000,4,4,293,00000070.jpg,58.717,31.882,12/10/2022,13:00 h,  66.6667,130302,420
