,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
9,00000010,PARTIDO MORADO,,100.000,13,13,9,00000010.jpg,0.446,0.313,12/10/2022,13:00 h, 100.0000,140407,857
8,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,13,13,16,00000007.jpg,0.792,0.556,12/10/2022,13:00 h, 100.0000,140407,857
4,00000001,ACCION POPULAR,,100.000,13,13,48,00000001.jpg,2.377,1.669,12/10/2022,13:00 h, 100.0000,140407,857
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,13,13,59,00000002.jpg,2.922,2.051,12/10/2022,13:00 h, 100.0000,140407,857
3,00000141,PARTIDO PATRIOTICO DEL PERU,,100.000,13,13,119,00000141.jpg,5.894,4.138,12/10/2022,13:00 h, 100.0000,140407,857
0,00000072,PATRIA JOVEN,,100.000,13,13,146,00000072.jpg,7.231,5.076,12/10/2022,13:00 h, 100.0000,140407,857
2,00000073,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,,100.000,13,13,237,00000073.jpg,11.738,8.241,12/10/2022,13:00 h, 100.0000,140407,857
6,00000003,RENOVACION POPULAR,,100.000,13,13,250,00000003.jpg,12.382,8.693,12/10/2022,13:00 h, 100.0000,140407,857
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,13,13,290,00000004.jpg,14.364,10.083,12/10/2022,13:00 h, 100.0000,140407,857
1,00000074,MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA,,100.000,13,13,382,00000074.jpg,18.920,13.282,12/10/2022,13:00 h, 100.0000,140407,857
5,00000009,PODEMOS PERU,,100.000,13,13,463,00000009.jpg,22.932,16.099,12/10/2022,13:00 h, 100.0000,140407,857
