,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
7,00000009,PODEMOS PERU,,100.000,304,304,654,00000009.jpg,1.106,0.877,12/10/2022,13:00 h,  93.5385,190115,15494
8,00000003,RENOVACION POPULAR,,100.000,304,304,1397,00000003.jpg,2.363,1.872,12/10/2022,13:00 h,  93.5385,190115,15494
5,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,304,304,2180,00000011.jpg,3.688,2.922,12/10/2022,13:00 h,  93.5385,190115,15494
6,00000006,FUERZA POPULAR,,100.000,304,304,2642,00000006.jpg,4.469,3.541,12/10/2022,13:00 h,  93.5385,190115,15494
0,00000099,PIURA RENACE,,100.000,304,304,3637,00000099.jpg,6.152,4.875,12/10/2022,13:00 h,  93.5385,190115,15494
2,00000095,MOVIMIENTO INDEPENDIENTE FUERZA REGIONAL,,100.000,304,304,5439,00000095.jpg,9.201,7.290,12/10/2022,13:00 h,  93.5385,190115,15494
3,00000097,REGION PARA TODOS,,100.000,304,304,5517,00000097.jpg,9.332,7.394,12/10/2022,13:00 h,  93.5385,190115,15494
9,00000004,ALIANZA PARA EL PROGRESO,,100.000,304,304,6549,00000004.jpg,11.078,8.778,12/10/2022,13:00 h,  93.5385,190115,15494
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,304,304,8569,00000002.jpg,14.495,11.485,12/10/2022,13:00 h,  93.5385,190115,15494
1,00000098,ORGANIZACION POLITICA UNIDAD REGIONAL,,100.000,304,304,10994,00000098.jpg,18.597,14.735,12/10/2022,13:00 h,  93.5385,190115,15494
4,00000096,CONTIGO REGION,,100.000,304,304,11538,00000096.jpg,19.518,15.464,12/10/2022,13:00 h,  93.5385,190115,15494
