,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
9,00000005,JUNTOS POR EL PERU,,100.000,217,217,565,00000005.jpg,1.299,1.083,12/10/2022,16:00 h,  98.6364,040129,8698
10,00000001,ACCION POPULAR,,100.000,217,217,634,00000001.jpg,1.458,1.215,12/10/2022,16:00 h,  98.6364,040129,8698
1,00000026,MOVIMIENTO REGIONAL REVALORA,,100.000,217,217,661,00000026.jpg,1.520,1.267,12/10/2022,16:00 h,  98.6364,040129,8698
13,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,217,217,843,00000008.jpg,1.939,1.615,12/10/2022,16:00 h,  98.6364,040129,8698
14,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,217,217,1090,00000002.jpg,2.507,2.089,12/10/2022,16:00 h,  98.6364,040129,8698
12,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,217,217,1113,00000007.jpg,2.560,2.133,12/10/2022,16:00 h,  98.6364,040129,8698
8,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,217,217,1386,00000011.jpg,3.187,2.656,12/10/2022,16:00 h,  98.6364,040129,8698
2,00000030,AREQUIPA - UNIDOS POR EL GRAN CAMBIO,,100.000,217,217,1510,00000030.jpg,3.473,2.894,12/10/2022,16:00 h,  98.6364,040129,8698
6,00000031,"AREQUIPA, TRADICION Y FUTURO",,100.000,217,217,3327,00000031.jpg,7.651,6.376,12/10/2022,16:00 h,  98.6364,040129,8698
3,00000029,FUERZA AREQUIPEÑA,,100.000,217,217,3397,00000029.jpg,7.812,6.510,12/10/2022,16:00 h,  98.6364,040129,8698
11,00000004,ALIANZA PARA EL PROGRESO,,100.000,217,217,3735,00000004.jpg,8.589,7.158,12/10/2022,16:00 h,  98.6364,040129,8698
4,00000032,JUNTOS POR EL DESARROLLO DE AREQUIPA,,100.000,217,217,4205,00000032.jpg,9.670,8.058,12/10/2022,16:00 h,  98.6364,040129,8698
7,00000033,AREQUIPA TRANSFORMACION,,100.000,217,217,4344,00000033.jpg,9.990,8.325,12/10/2022,16:00 h,  98.6364,040129,8698
0,00000028,YO AREQUIPA,,100.000,217,217,8225,00000028.jpg,18.915,15.762,12/10/2022,16:00 h,  98.6364,040129,8698
5,00000027,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,,100.000,217,217,8449,00000027.jpg,19.430,16.191,12/10/2022,16:00 h,  98.6364,040129,8698
