,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
0,00000183,FUERZA INKA AMAZONICA,,100.000,204,204,767,00000183.jpg,2.045,1.629,12/10/2022,16:00 h, 100.0000,070108,9579
8,00000010,PARTIDO MORADO,,100.000,204,204,885,00000010.jpg,2.359,1.879,12/10/2022,16:00 h, 100.0000,070108,9579
6,00000003,RENOVACION POPULAR,,100.000,204,204,1056,00000003.jpg,2.815,2.243,12/10/2022,16:00 h, 100.0000,070108,9579
4,00000005,JUNTOS POR EL PERU,,100.000,204,204,2434,00000005.jpg,6.489,5.169,12/10/2022,16:00 h, 100.0000,070108,9579
5,00000009,PODEMOS PERU,,100.000,204,204,2721,00000009.jpg,7.254,5.779,12/10/2022,16:00 h, 100.0000,070108,9579
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,204,204,4407,00000002.jpg,11.749,9.359,12/10/2022,16:00 h, 100.0000,070108,9579
1,00000047,AUTOGOBIERNO AYLLU,,100.000,204,204,4649,00000047.jpg,12.395,9.873,12/10/2022,16:00 h, 100.0000,070108,9579
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,204,204,6197,00000004.jpg,16.522,13.161,12/10/2022,16:00 h, 100.0000,070108,9579
2,00000049,MOVIMIENTO REGIONAL INKA PACHAKUTEQ,,100.000,204,204,6641,00000049.jpg,17.706,14.104,12/10/2022,16:00 h, 100.0000,070108,9579
3,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,204,204,7751,00000011.jpg,20.665,16.461,12/10/2022,16:00 h, 100.0000,070108,9579
