,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
10,00000003,RENOVACION POPULAR,,100.000,15,15,3,00000003.jpg,0.112,0.090,12/10/2022,12:30 h, 100.0000,021302,654
7,00000006,FUERZA POPULAR,,100.000,15,15,14,00000006.jpg,0.524,0.421,12/10/2022,12:30 h, 100.0000,021302,654
5,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,15,15,18,00000011.jpg,0.674,0.541,12/10/2022,12:30 h, 100.0000,021302,654
2,00000182,MOVIMIENTO INDEPENDIENTE REGIONAL ANCASH A LA OBRA,,100.000,15,15,38,00000182.jpg,1.422,1.143,12/10/2022,12:30 h, 100.0000,021302,654
14,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,15,15,41,00000002.jpg,1.534,1.233,12/10/2022,12:30 h, 100.0000,021302,654
12,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,15,15,43,00000007.jpg,1.609,1.293,12/10/2022,12:30 h, 100.0000,021302,654
9,00000009,PODEMOS PERU,,100.000,15,15,44,00000009.jpg,1.647,1.323,12/10/2022,12:30 h, 100.0000,021302,654
6,00000005,JUNTOS POR EL PERU,,100.000,15,15,46,00000005.jpg,1.722,1.383,12/10/2022,12:30 h, 100.0000,021302,654
13,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,15,15,97,00000008.jpg,3.630,2.916,12/10/2022,12:30 h, 100.0000,021302,654
4,00000021,ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,,100.000,15,15,184,00000021.jpg,6.886,5.532,12/10/2022,12:30 h, 100.0000,021302,654
3,00000018,MOVIMIENTO ACCION NACIONALISTA PERUANO,,100.000,15,15,288,00000018.jpg,10.778,8.659,12/10/2022,12:30 h, 100.0000,021302,654
8,00000001,ACCION POPULAR,,100.000,15,15,296,00000001.jpg,11.078,8.900,12/10/2022,12:30 h, 100.0000,021302,654
0,00000020,MOVIMIENTO REGIONAL EL MAICITO,,100.000,15,15,445,00000020.jpg,16.654,13.379,12/10/2022,12:30 h, 100.0000,021302,654
11,00000004,ALIANZA PARA EL PROGRESO,,100.000,15,15,521,00000004.jpg,19.499,15.664,12/10/2022,12:30 h, 100.0000,021302,654
1,00000019,SOCIOS POR ANCASH,,100.000,15,15,594,00000019.jpg,22.231,17.859,12/10/2022,12:30 h, 100.0000,021302,654
