,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
14,00000010,PARTIDO MORADO,,100.000,4,4,0,00000010.jpg,0.000,0.000,12/10/2022,12:30 h, 100.0000,040115,147
11,00000009,PODEMOS PERU,,100.000,4,4,0,00000009.jpg,0.000,0.000,12/10/2022,12:30 h, 100.0000,040115,147
16,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,4,4,1,00000002.jpg,0.152,0.124,12/10/2022,12:30 h, 100.0000,040115,147
9,00000006,FUERZA POPULAR,,100.000,4,4,1,00000006.jpg,0.152,0.124,12/10/2022,12:30 h, 100.0000,040115,147
13,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,4,4,2,00000007.jpg,0.304,0.249,12/10/2022,12:30 h, 100.0000,040115,147
8,00000005,JUNTOS POR EL PERU,,100.000,4,4,2,00000005.jpg,0.304,0.249,12/10/2022,12:30 h, 100.0000,040115,147
1,00000026,MOVIMIENTO REGIONAL REVALORA,,100.000,4,4,6,00000026.jpg,0.913,0.746,12/10/2022,12:30 h, 100.0000,040115,147
2,00000030,AREQUIPA - UNIDOS POR EL GRAN CAMBIO,,100.000,4,4,9,00000030.jpg,1.370,1.119,12/10/2022,12:30 h, 100.0000,040115,147
6,00000031,"AREQUIPA, TRADICION Y FUTURO",,100.000,4,4,26,00000031.jpg,3.957,3.234,12/10/2022,12:30 h, 100.0000,040115,147
3,00000029,FUERZA AREQUIPEÑA,,100.000,4,4,51,00000029.jpg,7.763,6.343,12/10/2022,12:30 h, 100.0000,040115,147
12,00000004,ALIANZA PARA EL PROGRESO,,100.000,4,4,52,00000004.jpg,7.915,6.468,12/10/2022,12:30 h, 100.0000,040115,147
15,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,4,4,62,00000008.jpg,9.437,7.711,12/10/2022,12:30 h, 100.0000,040115,147
4,00000032,JUNTOS POR EL DESARROLLO DE AREQUIPA,,100.000,4,4,64,00000032.jpg,9.741,7.960,12/10/2022,12:30 h, 100.0000,040115,147
10,00000001,ACCION POPULAR,,100.000,4,4,72,00000001.jpg,10.959,8.955,12/10/2022,12:30 h, 100.0000,040115,147
7,00000033,AREQUIPA TRANSFORMACION,,100.000,4,4,85,00000033.jpg,12.938,10.572,12/10/2022,12:30 h, 100.0000,040115,147
5,00000027,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,,100.000,4,4,87,00000027.jpg,13.242,10.821,12/10/2022,12:30 h, 100.0000,040115,147
0,00000028,YO AREQUIPA,,100.000,4,4,137,00000028.jpg,20.852,17.040,12/10/2022,12:30 h, 100.0000,040115,147
