,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
12,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,77,77,233,00000002.jpg,1.379,1.115,12/10/2022,13:00 h, 100.0000,200905,3997
2,00000107,GESTIONANDO OBRAS Y OPORTUNIDADES CON LIDERAZGO,,100.000,77,77,244,00000107.jpg,1.444,1.168,12/10/2022,13:00 h, 100.0000,200905,3997
10,00000009,PODEMOS PERU,,100.000,77,77,305,00000009.jpg,1.805,1.460,12/10/2022,13:00 h, 100.0000,200905,3997
1,00000108,MOVIMIENTO ACCION REGIONAL,,100.000,77,77,682,00000108.jpg,4.037,3.265,12/10/2022,13:00 h, 100.0000,200905,3997
0,00000101,PODER ANDINO,,100.000,77,77,755,00000101.jpg,4.469,3.614,12/10/2022,13:00 h, 100.0000,200905,3997
9,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,77,77,842,00000011.jpg,4.984,4.030,12/10/2022,13:00 h, 100.0000,200905,3997
11,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,77,77,1037,00000008.jpg,6.138,4.964,12/10/2022,13:00 h, 100.0000,200905,3997
8,00000104,SOMOS PUEBLO,,100.000,77,77,1693,00000104.jpg,10.021,8.104,12/10/2022,13:00 h, 100.0000,200905,3997
5,00000102,MOVIMIENTO DE INTEGRACION Y REVOLUCION ANDINA,,100.000,77,77,1818,00000102.jpg,10.761,8.702,12/10/2022,13:00 h, 100.0000,200905,3997
7,00000109,POR LAS COMUNIDADES FUENTE DE INTEGRACION ANDINA DE PUNO - CONFIA - PUNO,,100.000,77,77,2070,00000109.jpg,12.253,9.909,12/10/2022,13:00 h, 100.0000,200905,3997
4,00000105,REFORMA Y HONRADEZ POR MAS OBRAS,,100.000,77,77,2286,00000105.jpg,13.531,10.943,12/10/2022,13:00 h, 100.0000,200905,3997
3,00000100,FRENTE AMPLIO PARA EL DESARROLLO DEL PUEBLO,,100.000,77,77,2290,00000100.jpg,13.555,10.962,12/10/2022,13:00 h, 100.0000,200905,3997
6,00000103,MORAL Y DESARROLLO,,100.000,77,77,2639,00000103.jpg,15.621,12.632,12/10/2022,13:00 h, 100.0000,200905,3997
