,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
8,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,17,17,30,00000007.jpg,0.941,0.682,12/10/2022,13:00 h, 100.0000,230303,1209
3,00000005,JUNTOS POR EL PERU,,100.000,17,17,41,00000005.jpg,1.286,0.932,12/10/2022,13:00 h, 100.0000,230303,1209
4,00000006,FUERZA POPULAR,,100.000,17,17,59,00000006.jpg,1.850,1.342,12/10/2022,13:00 h, 100.0000,230303,1209
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,17,17,63,00000002.jpg,1.976,1.432,12/10/2022,13:00 h, 100.0000,230303,1209
6,00000003,RENOVACION POPULAR,,100.000,17,17,120,00000003.jpg,3.763,2.729,12/10/2022,13:00 h, 100.0000,230303,1209
1,00000124,"UNIDAD, EXPERIENCIA Y TRABAJO CON ETICA",,100.000,17,17,350,00000124.jpg,10.975,7.958,12/10/2022,13:00 h, 100.0000,230303,1209
2,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,17,17,495,00000011.jpg,15.522,11.255,12/10/2022,13:00 h, 100.0000,230303,1209
5,00000001,ACCION POPULAR,,100.000,17,17,579,00000001.jpg,18.156,13.165,12/10/2022,13:00 h, 100.0000,230303,1209
0,00000126,MOVIMIENTO DE INCLUSION REGIONAL,,100.000,17,17,595,00000126.jpg,18.658,13.529,12/10/2022,13:00 h, 100.0000,230303,1209
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,17,17,857,00000004.jpg,26.874,19.486,12/10/2022,13:00 h, 100.0000,230303,1209
