,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
5,00000001,ACCION POPULAR,,100.000,9,9,11,00000001.jpg,0.665,0.503,12/10/2022,12:30 h, 100.0000,020108,533
6,00000009,PODEMOS PERU,,100.000,9,9,12,00000009.jpg,0.726,0.549,12/10/2022,12:30 h, 100.0000,020108,533
7,00000003,RENOVACION POPULAR,,100.000,9,9,14,00000003.jpg,0.846,0.640,12/10/2022,12:30 h, 100.0000,020108,533
2,00000018,MOVIMIENTO ACCION NACIONALISTA PERUANO,,100.000,9,9,50,00000018.jpg,3.023,2.286,12/10/2022,12:30 h, 100.0000,020108,533
0,00000020,MOVIMIENTO REGIONAL EL MAICITO,,100.000,9,9,64,00000020.jpg,3.869,2.926,12/10/2022,12:30 h, 100.0000,020108,533
9,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,9,9,100,00000007.jpg,6.046,4.572,12/10/2022,12:30 h, 100.0000,020108,533
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,9,9,104,00000008.jpg,6.288,4.755,12/10/2022,12:30 h, 100.0000,020108,533
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,9,9,159,00000004.jpg,9.613,7.270,12/10/2022,12:30 h, 100.0000,020108,533
4,00000005,JUNTOS POR EL PERU,,100.000,9,9,306,00000005.jpg,18.501,13.992,12/10/2022,12:30 h, 100.0000,020108,533
3,00000021,ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,,100.000,9,9,353,00000021.jpg,21.342,16.141,12/10/2022,12:30 h, 100.0000,020108,533
1,00000019,SOCIOS POR ANCASH,,100.000,9,9,481,00000019.jpg,29.081,21.994,12/10/2022,12:30 h, 100.0000,020108,533
