,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
0,00000071,MOVIMIENTO VERDE UNIDO,,100.000,68,68,38,00000071.jpg,0.289,0.236,12/10/2022,13:00 h, 100.0000,130118,2914
3,00000141,PARTIDO PATRIOTICO DEL PERU,,100.000,68,68,68,00000141.jpg,0.516,0.423,12/10/2022,13:00 h, 100.0000,130118,2914
6,00000001,ACCION POPULAR,,100.000,68,68,235,00000001.jpg,1.785,1.461,12/10/2022,13:00 h, 100.0000,130118,2914
9,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,68,68,298,00000007.jpg,2.263,1.853,12/10/2022,13:00 h, 100.0000,130118,2914
5,00000006,FUERZA POPULAR,,100.000,68,68,399,00000006.jpg,3.031,2.481,12/10/2022,13:00 h, 100.0000,130118,2914
4,00000005,JUNTOS POR EL PERU,,100.000,68,68,1237,00000005.jpg,9.395,7.693,12/10/2022,13:00 h, 100.0000,130118,2914
11,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,68,68,1535,00000002.jpg,11.659,9.546,12/10/2022,13:00 h, 100.0000,130118,2914
7,00000003,RENOVACION POPULAR,,100.000,68,68,1561,00000003.jpg,11.856,9.708,12/10/2022,13:00 h, 100.0000,130118,2914
1,00000070,MOVIMIENTO REGIONAL CONSTRUYENDO,,100.000,68,68,1681,00000070.jpg,12.768,10.454,12/10/2022,13:00 h, 100.0000,130118,2914
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,68,68,1836,00000004.jpg,13.945,11.418,12/10/2022,13:00 h, 100.0000,130118,2914
2,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,68,68,2084,00000011.jpg,15.829,12.960,12/10/2022,13:00 h, 100.0000,130118,2914
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,68,68,2194,00000008.jpg,16.664,13.644,12/10/2022,13:00 h, 100.0000,130118,2914
