,idPlanGobierno,idOrganizacionPolitica,txOrganizacionPolitica,idTipoEleccion,txTipoEleccion,idJuradoElectoral,txJuradoElectoral,txRutaCompleto,txRutaResumen,txTipoPlan,txCodExpedienteExt,idEstadoLista,txEstadoLista,nuCantidadCandidatos,txUbigeo,txDistritoElectoral,txRegion,txProvincia,txDistrito
0,21115,1257,ALIANZA PARA EL PROGRESO,6,MUNICIPAL DISTRITAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/7319cb5e-2ac5-4815-8bae-f8e417ad737a.pdf,https://mpesije.jne.gob.pe/docs/6d4fae68-1d7a-4e57-b4d2-203506e80428.pdf,,ERM.2022010582,158,INSCRITO,6,10102,,AMAZONAS,CHACHAPOYAS,ASUNCION
1,23981,2878,VICTORIA AMAZONENSE,6,MUNICIPAL DISTRITAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/390d54e4-1580-4657-bcaa-f8952f486c71.pdf,https://mpesije.jne.gob.pe/docs/de8b8502-6622-4553-ae6e-4bc3db2dfde7.pdf,,ERM.2022010531,158,INSCRITO,6,10102,,AMAZONAS,CHACHAPOYAS,ASUNCION
2,17807,22,RENOVACION POPULAR,6,MUNICIPAL DISTRITAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/6c88b1e8-5752-430c-9f69-0d821cd196d0.pdf,https://mpesije.jne.gob.pe/docs/8a067352-36be-4631-9210-721f5b658e33.pdf,,ERM.2022017375,158,INSCRITO,6,10103,,AMAZONAS,CHACHAPOYAS,BALSAS
3,25106,1257,ALIANZA PARA EL PROGRESO,6,MUNICIPAL DISTRITAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/2f85e2ec-c9bf-4a0d-a89d-4288d5a34120.pdf,https://mpesije.jne.gob.pe/docs/4982df78-151e-4657-a025-5858f2d6766d.pdf,,ERM.2022006842,158,INSCRITO,6,10103,,AMAZONAS,CHACHAPOYAS,BALSAS
4,17018,2277,SENTIMIENTO AMAZONENSE REGIONAL,6,MUNICIPAL DISTRITAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/2c045e6f-9670-4e0a-9c2b-99099db07244.pdf,https://mpesije.jne.gob.pe/docs/94e07ba0-ea63-46ff-ba1c-5454b3b08836.pdf,,ERM.2022012619,158,INSCRITO,6,10103,,AMAZONAS,CHACHAPOYAS,BALSAS
5,21263,2878,VICTORIA AMAZONENSE,6,MUNICIPAL DISTRITAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/45392860-bbd9-46a3-ba7d-c611af9a3b1a.pdf,https://mpesije.jne.gob.pe/docs/c8e3a843-f280-45fb-828a-c81ed09810f0.pdf,,ERM.2022012653,158,INSCRITO,6,10103,,AMAZONAS,CHACHAPOYAS,BALSAS
6,26107,2218,PARTIDO POLITICO NACIONAL PERU LIBRE,6,MUNICIPAL DISTRITAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/7c445ff8-db4d-4145-9249-27445a4b53cb.pdf,https://mpesije.jne.gob.pe/docs/38b6e9c7-a9df-4ea1-aa33-8e8b7db932fd.pdf,,ERM.2022013706,158,INSCRITO,6,10104,,AMAZONAS,CHACHAPOYAS,CHETO
7,28371,2277,SENTIMIENTO AMAZONENSE REGIONAL,6,MUNICIPAL DISTRITAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/7a2a8468-9b4c-4823-ac61-e746bea12516.pdf,https://mpesije.jne.gob.pe/docs/aae24ec9-3566-4bba-81c7-9054e009ce43.pdf,,ERM.2022012550,158,INSCRITO,6,10104,,AMAZONAS,CHACHAPOYAS,CHETO
8,28188,2878,VICTORIA AMAZONENSE,6,MUNICIPAL DISTRITAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/35d10632-f417-4b1b-b4ce-acd0f17df0b9.pdf,https://mpesije.jne.gob.pe/docs/a2808796-8731-4f6c-88ea-dec9025e5244.pdf,,ERM.2022012690,158,INSCRITO,6,10104,,AMAZONAS,CHACHAPOYAS,CHETO
9,17510,22,RENOVACION POPULAR,6,MUNICIPAL DISTRITAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/40e051af-0c3d-4887-a893-38404065a7a0.pdf,https://mpesije.jne.gob.pe/docs/d7c21e3c-e0d2-4fce-a3f3-5d4fc9c89fab.pdf,,ERM.2022011653,158,INSCRITO,6,10105,,AMAZONAS,CHACHAPOYAS,CHILIQUIN
