,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance
0,00000075,MOVIMIENTO INDEPENDIENTE LORETO - MI LORETO,,100.000,"2,403","2,403","25,146",00000075.jpg,6.324,5.426,15,12/10/2022,10:31 h,  96.6224
1,10000080,MISION ORGANIZADA VIA INTEGRIDAD Y LIBERTAD,,100.000,"2,403","2,403","8,782",10000080.jpg,2.209,1.895,15,12/10/2022,10:31 h,  96.6224
2,00000079,MOVIMIENTO INDEPENDIENTE REIVINDIQUEMOS LORETO,,100.000,"2,403","2,403","48,843",00000079.jpg,12.284,10.540,15,12/10/2022,10:31 h,  96.6224
3,00000078,MOVIMIENTO ESPERANZA REGION AMAZONICA,,100.000,"2,403","2,403","94,892",00000078.jpg,23.865,20.477,15,12/10/2022,10:31 h,  96.6224
4,00000077,MOVIMIENTO INDEPENDIENTE POLITICO VOLUNTAD GENERAL AMAZONICA - VOGA,,100.000,"2,403","2,403","9,223",00000077.jpg,2.320,1.990,15,12/10/2022,10:31 h,  96.6224
5,00000076,JUNTOS POR LORETO,,100.000,"2,403","2,403","9,365",00000076.jpg,2.355,2.021,15,12/10/2022,10:31 h,  96.6224
6,00000161,LORETO PARA TODOS,,100.000,"2,403","2,403","7,309",00000161.jpg,1.838,1.577,15,12/10/2022,10:31 h,  96.6224
7,00000006,FUERZA POPULAR,,100.000,"2,403","2,403","3,292",00000006.jpg,0.828,0.710,15,12/10/2022,10:31 h,  96.6224
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,"2,403","2,403","53,135",00000004.jpg,13.363,11.466,15,12/10/2022,10:31 h,  96.6224
9,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"2,403","2,403","7,961",00000008.jpg,2.002,1.718,15,12/10/2022,10:31 h,  96.6224
10,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"2,403","2,403","129,667",00000002.jpg,32.611,27.981,15,12/10/2022,10:31 h,  96.6224
