,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance
0,00000028,YO AREQUIPA,,100.000,"3,940","3,940","292,805",00000028.jpg,38.418,31.314,04,12/10/2022,10:31 h,  99.7216
1,00000026,MOVIMIENTO REGIONAL REVALORA,,100.000,"3,940","3,940","23,080",00000026.jpg,3.028,2.468,04,12/10/2022,10:31 h,  99.7216
2,00000030,AREQUIPA - UNIDOS POR EL GRAN CAMBIO,,100.000,"3,940","3,940","16,271",00000030.jpg,2.135,1.740,04,12/10/2022,10:31 h,  99.7216
3,00000029,FUERZA AREQUIPEÑA,,100.000,"3,940","3,940","57,014",00000029.jpg,7.481,6.097,04,12/10/2022,10:31 h,  99.7216
4,00000027,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,,100.000,"3,940","3,940","115,486",00000027.jpg,15.153,12.351,04,12/10/2022,10:31 h,  99.7216
5,00000031,"AREQUIPA, TRADICION Y FUTURO",,100.000,"3,940","3,940","139,359",00000031.jpg,18.285,14.904,04,12/10/2022,10:31 h,  99.7216
6,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"3,940","3,940","11,665",00000011.jpg,1.531,1.248,04,12/10/2022,10:31 h,  99.7216
7,00000005,JUNTOS POR EL PERU,,100.000,"3,940","3,940","14,875",00000005.jpg,1.952,1.591,04,12/10/2022,10:31 h,  99.7216
8,00000003,RENOVACION POPULAR,,100.000,"3,940","3,940","9,560",00000003.jpg,1.254,1.022,04,12/10/2022,10:31 h,  99.7216
9,00000004,ALIANZA PARA EL PROGRESO,,100.000,"3,940","3,940","23,050",00000004.jpg,3.024,2.465,04,12/10/2022,10:31 h,  99.7216
10,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,"3,940","3,940","13,180",00000007.jpg,1.729,1.410,04,12/10/2022,10:31 h,  99.7216
11,00000010,PARTIDO MORADO,,100.000,"3,940","3,940","4,637",00000010.jpg,0.608,0.496,04,12/10/2022,10:31 h,  99.7216
12,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"3,940","3,940","28,392",00000008.jpg,3.725,3.036,04,12/10/2022,10:31 h,  99.7216
13,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"3,940","3,940","12,783",00000002.jpg,1.677,1.367,04,12/10/2022,10:31 h,  99.7216
