,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000093,PASCO VERDE,,100.000,349,349,"11,055",00000093.jpg,18.333,15.284,18,03/10/2022,08:16 h,  47.8082
1,00000092,MOVIMIENTO REGIONAL JUVENTUD PASQUEÑA,,100.000,349,349,"3,516",00000092.jpg,5.831,4.861,18,03/10/2022,08:16 h,  47.8082
2,00000094,PASCO DIGNIDAD,,100.000,349,349,"8,234",00000094.jpg,13.655,11.384,18,03/10/2022,08:16 h,  47.8082
3,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,349,349,"10,255",00000011.jpg,17.006,14.178,18,03/10/2022,08:16 h,  47.8082
4,00000009,PODEMOS PERU,,100.000,349,349,"14,293",00000009.jpg,23.703,19.761,18,03/10/2022,08:16 h,  47.8082
5,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,349,349,"1,642",00000008.jpg,2.723,2.270,18,03/10/2022,08:16 h,  47.8082
6,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,349,349,"11,306",00000002.jpg,18.749,15.631,18,03/10/2022,08:16 h,  47.8082
7,,TOTAL DE VOTOS VÁLIDOS,,,,,"60,301",,100.000,83.368,18,03/10/2022,08:16 h,  47.8082
8,80,VOTOS EN BLANCO,,"1,258.689",349,446,"6,070",,,8.392,18,03/10/2022,08:16 h,  47.8082
9,81,VOTOS NULOS,,"1,258.689",349,446,"5,960",,,8.240,18,03/10/2022,08:16 h,  47.8082
10,,TOTAL DE VOTOS EMITIDOS,,,,,"72,331",,,100.000,18,03/10/2022,08:16 h,  47.8082
