,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000038,CAJAMARCA SIEMPRE VERDE,,100.000,"3,025","3,025","64,593",00000038.jpg,12.353,9.821,06,03/10/2022,08:16 h,  77.1487
1,00000039,FRENTE REGIONAL DE CAJAMARCA,,100.000,"3,025","3,025","95,186",00000039.jpg,18.203,14.472,06,03/10/2022,08:16 h,  77.1487
2,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"3,025","3,025","63,996",00000011.jpg,12.239,9.730,06,03/10/2022,08:16 h,  77.1487
3,00000003,RENOVACION POPULAR,,100.000,"3,025","3,025","6,805",00000003.jpg,1.301,1.035,06,03/10/2022,08:16 h,  77.1487
4,00000004,ALIANZA PARA EL PROGRESO,,100.000,"3,025","3,025","95,320",00000004.jpg,18.229,14.493,06,03/10/2022,08:16 h,  77.1487
5,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,"3,025","3,025","93,982",00000007.jpg,17.973,14.289,06,03/10/2022,08:16 h,  77.1487
6,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"3,025","3,025","103,020",00000002.jpg,19.702,15.663,06,03/10/2022,08:16 h,  77.1487
7,,TOTAL DE VOTOS VÁLIDOS,,,,,"522,902",,100.000,79.503,06,03/10/2022,08:16 h,  77.1487
8,80,VOTOS EN BLANCO,,"9,320.663","3,025","3,682","88,200",,,13.410,06,03/10/2022,08:16 h,  77.1487
9,81,VOTOS NULOS,,"9,320.663","3,025","3,682","46,609",,,7.087,06,03/10/2022,08:16 h,  77.1487
10,,TOTAL DE VOTOS EMITIDOS,,,,,"657,711",,,100.000,06,03/10/2022,08:16 h,  77.1487
