,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000016,SENTIMIENTO AMAZONENSE REGIONAL,,100.000,831,831,"35,026",00000016.jpg,24.638,20.877,01,03/10/2022,08:16 h,  72.5131
1,00000017,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,,100.000,831,831,"31,523",00000017.jpg,22.174,18.789,01,03/10/2022,08:16 h,  72.5131
2,00000015,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,,100.000,831,831,"24,103",00000015.jpg,16.955,14.366,01,03/10/2022,08:16 h,  72.5131
3,00000014,MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA,,100.000,831,831,"6,348",00000014.jpg,4.465,3.784,01,03/10/2022,08:16 h,  72.5131
4,00000005,JUNTOS POR EL PERU,,100.000,831,831,"11,682",00000005.jpg,8.218,6.963,01,03/10/2022,08:16 h,  72.5131
5,00000006,FUERZA POPULAR,,100.000,831,831,877,00000006.jpg,0.617,0.523,01,03/10/2022,08:16 h,  72.5131
6,00000003,RENOVACION POPULAR,,100.000,831,831,"21,133",00000003.jpg,14.866,12.596,01,03/10/2022,08:16 h,  72.5131
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,831,831,"11,468",00000004.jpg,8.067,6.835,01,03/10/2022,08:16 h,  72.5131
8,,TOTAL DE VOTOS VÁLIDOS,,,,,"142,160",,100.000,84.732,01,03/10/2022,08:16 h,  72.5131
9,80,VOTOS EN BLANCO,,"7,260.129",831,"1,044","14,659",,,8.737,01,03/10/2022,08:16 h,  72.5131
10,81,VOTOS NULOS,,"7,260.129",831,"1,044","10,958",,,6.531,01,03/10/2022,08:16 h,  72.5131
11,,TOTAL DE VOTOS EMITIDOS,,,,,"167,777",,,100.000,01,03/10/2022,08:16 h,  72.5131
