,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000036,MOVIMIENTO REGIONAL AGUA,,100.000,"1,019","1,019","59,935",00000036.jpg,34.347,27.789,05,03/10/2022,08:16 h,  57.5706
1,00000037,MOVIMIENTO REGIONAL WARI LLAQTA,,100.000,"1,019","1,019","83,766",00000037.jpg,48.003,38.839,05,03/10/2022,08:16 h,  57.5706
2,00000034,MOVIMIENTO REGIONAL GANA AYACUCHO,,100.000,"1,019","1,019","18,933",00000034.jpg,10.850,8.778,05,03/10/2022,08:16 h,  57.5706
3,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"1,019","1,019","3,803",00000011.jpg,2.179,1.763,05,03/10/2022,08:16 h,  57.5706
4,00000004,ALIANZA PARA EL PROGRESO,,100.000,"1,019","1,019","3,028",00000004.jpg,1.735,1.404,05,03/10/2022,08:16 h,  57.5706
5,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"1,019","1,019","5,036",00000002.jpg,2.886,2.335,05,03/10/2022,08:16 h,  57.5706
6,,TOTAL DE VOTOS VÁLIDOS,,,,,"174,501",,100.000,80.908,05,03/10/2022,08:16 h,  57.5706
7,80,VOTOS EN BLANCO,,"7,034.659","1,019","1,337","27,669",,,12.829,05,03/10/2022,08:16 h,  57.5706
8,81,VOTOS NULOS,,"7,034.659","1,019","1,337","13,507",,,6.263,05,03/10/2022,08:16 h,  57.5706
9,,TOTAL DE VOTOS EMITIDOS,,,,,"215,677",,,100.000,05,03/10/2022,08:16 h,  57.5706
