,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000111,NUEVA AMAZONIA,,100.000,"1,887","1,887","8,925",00000111.jpg,2.532,2.125,21,03/10/2022,08:16 h,  82.4017
1,00000112,UNION REGIONAL,,100.000,"1,887","1,887","33,644",00000112.jpg,9.543,8.011,21,03/10/2022,08:16 h,  82.4017
2,00000006,FUERZA POPULAR,,100.000,"1,887","1,887","3,413",00000006.jpg,0.968,0.813,21,03/10/2022,08:16 h,  82.4017
3,00000001,ACCION POPULAR,,100.000,"1,887","1,887","27,999",00000001.jpg,7.942,6.667,21,03/10/2022,08:16 h,  82.4017
4,00000004,ALIANZA PARA EL PROGRESO,,100.000,"1,887","1,887","57,635",00000004.jpg,16.348,13.723,21,03/10/2022,08:16 h,  82.4017
5,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,"1,887","1,887","72,314",00000007.jpg,20.512,17.218,21,03/10/2022,08:16 h,  82.4017
6,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"1,887","1,887","148,612",00000002.jpg,42.154,35.384,21,03/10/2022,08:16 h,  82.4017
7,,TOTAL DE VOTOS VÁLIDOS,,,,,"352,542",,100.000,83.940,21,03/10/2022,08:16 h,  82.4017
8,80,VOTOS EN BLANCO,,"6,244.305","1,887","2,213","41,661",,,9.919,21,03/10/2022,08:16 h,  82.4017
9,81,VOTOS NULOS,,"6,244.305","1,887","2,213","25,789",,,6.140,21,03/10/2022,08:16 h,  82.4017
10,,TOTAL DE VOTOS EMITIDOS,,,,,"419,992",,,100.000,21,03/10/2022,08:16 h,  82.4017
