,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000019,SOCIOS POR ANCASH,,100.000,"2,823","2,823","96,191",00000019.jpg,22.346,15.427,02,03/10/2022,08:16 h,  88.5230
1,00000018,MOVIMIENTO ACCION NACIONALISTA PERUANO,,100.000,"2,823","2,823","47,092",00000018.jpg,10.940,7.553,02,03/10/2022,08:16 h,  88.5230
2,00000021,ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,,100.000,"2,823","2,823","150,983",00000021.jpg,35.074,24.215,02,03/10/2022,08:16 h,  88.5230
3,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"2,823","2,823","21,224",00000011.jpg,4.930,3.404,02,03/10/2022,08:16 h,  88.5230
4,00000005,JUNTOS POR EL PERU,,100.000,"2,823","2,823","85,753",00000005.jpg,19.921,13.753,02,03/10/2022,08:16 h,  88.5230
5,00000006,FUERZA POPULAR,,100.000,"2,823","2,823","13,570",00000006.jpg,3.152,2.176,02,03/10/2022,08:16 h,  88.5230
6,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,"2,823","2,823","15,651",00000007.jpg,3.636,2.510,02,03/10/2022,08:16 h,  88.5230
7,,TOTAL DE VOTOS VÁLIDOS,,,,,"430,464",,100.000,69.039,02,03/10/2022,08:16 h,  88.5230
8,80,VOTOS EN BLANCO,,"14,224.625","2,823","3,084","130,513",,,20.932,02,03/10/2022,08:16 h,  88.5230
9,81,VOTOS NULOS,,"14,224.625","2,823","3,084","62,527",,,10.028,02,03/10/2022,08:16 h,  88.5230
10,,TOTAL DE VOTOS EMITIDOS,,,,,"623,504",,,100.000,02,03/10/2022,08:16 h,  88.5230
