,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000123,RENOVACION TUMBESINA,,100.000,429,429,"11,432",00000123.jpg,15.940,11.178,23,03/10/2022,08:16 h,  73.5849
1,00000125,MOVIMIENTO POLITICO REGIONAL DIGNIDAD TUMBESINA,,100.000,429,429,"16,093",00000125.jpg,22.438,15.735,23,03/10/2022,08:16 h,  73.5849
2,00000124,"UNIDAD, EXPERIENCIA Y TRABAJO CON ETICA",,100.000,429,429,"5,064",00000124.jpg,7.061,4.951,23,03/10/2022,08:16 h,  73.5849
3,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,429,429,"2,077",00000011.jpg,2.896,2.031,23,03/10/2022,08:16 h,  73.5849
4,00000006,FUERZA POPULAR,,100.000,429,429,"6,193",00000006.jpg,8.635,6.055,23,03/10/2022,08:16 h,  73.5849
5,00000004,ALIANZA PARA EL PROGRESO,,100.000,429,429,"22,679",00000004.jpg,31.621,22.175,23,03/10/2022,08:16 h,  73.5849
6,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,429,429,"5,987",00000008.jpg,8.348,5.854,23,03/10/2022,08:16 h,  73.5849
7,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,429,429,"2,196",00000002.jpg,3.062,2.147,23,03/10/2022,08:16 h,  73.5849
8,,TOTAL DE VOTOS VÁLIDOS,,,,,"71,721",,100.000,70.127,23,03/10/2022,08:16 h,  73.5849
9,80,VOTOS EN BLANCO,,"1,013.045",429,583,"20,024",,,19.579,23,03/10/2022,08:16 h,  73.5849
10,81,VOTOS NULOS,,"1,013.045",429,583,"10,528",,,10.294,23,03/10/2022,08:16 h,  73.5849
11,,TOTAL DE VOTOS EMITIDOS,,,,,"102,273",,,100.000,23,03/10/2022,08:16 h,  73.5849
