,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000070,MOVIMIENTO REGIONAL CONSTRUYENDO,,100.000,"3,216","3,216","75,749",00000070.jpg,14.012,10.203,13,03/10/2022,08:16 h,  95.6289
1,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,"3,216","3,216","48,641",00000011.jpg,8.997,6.552,13,03/10/2022,08:16 h,  95.6289
2,00000006,FUERZA POPULAR,,100.000,"3,216","3,216","89,407",00000006.jpg,16.538,12.042,13,03/10/2022,08:16 h,  95.6289
3,00000004,ALIANZA PARA EL PROGRESO,,100.000,"3,216","3,216","112,470",00000004.jpg,20.804,15.149,13,03/10/2022,08:16 h,  95.6289
4,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,"3,216","3,216","75,461",00000007.jpg,13.958,10.164,13,03/10/2022,08:16 h,  95.6289
5,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,"3,216","3,216","32,332",00000008.jpg,5.981,4.355,13,03/10/2022,08:16 h,  95.6289
6,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"3,216","3,216","106,557",00000002.jpg,19.710,14.352,13,03/10/2022,08:16 h,  95.6289
7,,TOTAL DE VOTOS VÁLIDOS,,,,,"540,617",,100.000,72.817,13,03/10/2022,08:16 h,  95.6289
8,80,VOTOS EN BLANCO,,"3,523.423","3,216","3,341","132,473",,,17.843,13,03/10/2022,08:16 h,  95.6289
9,81,VOTOS NULOS,,"3,523.423","3,216","3,341","69,340",,,9.340,13,03/10/2022,08:16 h,  95.6289
10,,TOTAL DE VOTOS EMITIDOS,,,,,"742,430",,,100.000,13,03/10/2022,08:16 h,  95.6289
