,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,departamento,fecha,hora,avance
0,00000085,KAUSACHUN,,100.000,398,398,"20,962",00000085.jpg,27.476,22.291,17,03/10/2022,08:16 h,  76.3916
1,00000084,MOVIMIENTO REGIONAL SOMOS MAS,,100.000,398,398,"3,269",00000084.jpg,4.285,3.476,17,03/10/2022,08:16 h,  76.3916
2,00000088,NUESTRO ILO - MOQUEGUA - SANCHEZ CERRO,,100.000,398,398,"5,310",00000088.jpg,6.960,5.647,17,03/10/2022,08:16 h,  76.3916
3,00000009,PODEMOS PERU,,100.000,398,398,"14,701",00000009.jpg,19.270,15.633,17,03/10/2022,08:16 h,  76.3916
4,00000004,ALIANZA PARA EL PROGRESO,,100.000,398,398,"6,688",00000004.jpg,8.766,7.112,17,03/10/2022,08:16 h,  76.3916
5,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,398,398,"5,883",00000008.jpg,7.711,6.256,17,03/10/2022,08:16 h,  76.3916
6,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,398,398,"19,478",00000002.jpg,25.531,20.712,17,03/10/2022,08:16 h,  76.3916
7,,TOTAL DE VOTOS VÁLIDOS,,,,,"76,291",,100.000,81.126,17,03/10/2022,08:16 h,  76.3916
8,80,VOTOS EN BLANCO,,"1,466.917",398,490,"10,477",,,11.141,17,03/10/2022,08:16 h,  76.3916
9,81,VOTOS NULOS,,"1,466.917",398,490,"7,272",,,7.733,17,03/10/2022,08:16 h,  76.3916
10,,TOTAL DE VOTOS EMITIDOS,,,,,"94,040",,,100.000,17,03/10/2022,08:16 h,  76.3916
